t_end,nobs,aic,aicc,market,mining,lifestyle
2009-01-01,168,-1011.9524826478228,-1011.0468222704643,0.9294456866431807,0.22859329217243932,0.799660369335371
2009-04-01,171,-1031.7940748490626,-1030.9051859601736,0.931193493025476,0.22804051695372712,0.7975812296009152
2009-07-01,174,-1049.528302643313,-1048.655575370586,0.9561302416167521,0.21516991149657147,0.7621741827731595
2009-10-01,177,-1069.9223920249192,-1069.0652491677763,0.9609747199390372,0.21470156560647405,0.7580882777138088
2010-01-01,180,-1087.6217791523752,-1086.7796738892173,0.9830278614798604,0.20910683669381006,0.736268425750081
2010-04-01,183,-1108.3305704855588,-1107.5029842786623,0.9942370658098771,0.2025981007073243,0.7200467234663595
2010-07-01,186,-1128.2541763189727,-1127.4406169969388,0.9982775782805052,0.19578276386486376,0.712882415471542
2010-10-01,189,-1148.6265682183212,-1147.8265682183212,1.0004004724521192,0.19498108977312112,0.7008589593121424
2011-01-01,192,-1168.8381417009896,-1168.051256455088,0.995822009090436,0.20047827230560186,0.7013744072626801
2011-04-01,195,-1188.7483055441478,-1187.9741119957607,1.00349111530906,0.19664617204806667,0.7016060744007792
2011-07-01,198,-1208.345762497946,-1207.5838577360412,1.0098169454093209,0.193310713128879,0.7005707610800659
2011-10-01,201,-1223.500728382628,-1222.750728382628,1.0046919363030122,0.1948595068617965,0.7121472768430881
2012-01-01,204,-1244.6465496021524,-1243.908088063691,1.0008501584020086,0.19464719440883615,0.7006969634275168
2012-04-01,207,-1265.2689187440028,-1264.54164601673,0.9989829044270337,0.19939524390613653,0.7218887987653843
2012-07-01,210,-1285.6747365896076,-1284.95831867916,0.9948475045219295,0.19245638974074913,0.7001513838120333
2012-10-01,213,-1305.659652745897,-1304.9537703929557,0.9878070401518747,0.1834355932202932,0.7092353529740338
2013-01-01,216,-1327.0235164498088,-1326.3278642758958,0.9880676977769907,0.18921125906203784,0.7325484013187799
2013-04-01,219,-1348.0483412897022,-1347.3626270039879,0.9985131518346857,0.18753914821945455,0.7260442479590205
2013-07-01,222,-1369.6702303684679,-1368.9941740304396,0.9978697071793882,0.1778277326149584,0.7055484070255997
2013-10-01,225,-1386.779144661467,-1386.1124779948002,0.9770733429894382,0.18780753580717993,0.7228661509134381
2014-01-01,228,-1407.2072222895486,-1406.5496880429732,0.9793264855080099,0.186467529004916,0.7082184810830168
