t_end,nobs,aic,aicc,market,mining,lifestyle
2009-01-01,168,-1492.6703511267265,-1491.2690772413762,1.2183501864234283,-0.18408697628295112,-0.6125664578835263
2009-04-01,171,-1523.777520374807,-1522.402520374807,1.2205289689035126,-0.19303513197306574,-0.6052858982869328
2009-07-01,174,-1548.9052245103726,-1547.5555312588388,1.2364706900680082,-0.18174040284246218,-0.6466136387513935
2009-10-01,177,-1578.2801603237722,-1576.954859118953,1.215641830028444,-0.17669863355646434,-0.6755822129125686
2010-01-01,180,-1602.574314648813,-1601.272539500884,1.2378346512080844,-0.17565116173032008,-0.64156237740561
2010-04-01,183,-1632.0679619652617,-1630.78889219782,1.212140211788205,-0.17032567763681186,-0.7159259812849597
2010-07-01,186,-1654.5165050218852,-1653.2593621647425,1.196869493058625,-0.1646123046646906,-0.723449572480373
2010-10-01,189,-1683.9074806808958,-1682.671525624716,1.2051346390671922,-0.16554493603766346,-0.7195033034722883
2011-01-01,192,-1708.3854986373258,-1707.170029024066,1.202052998173398,-0.1685589271009482,-0.7313501455519309
2011-04-01,195,-1726.532292522953,-1725.33664034904,1.1967310975393066,-0.16971258029428865,-0.7669685265397984
2011-07-01,198,-1765.3298321160978,-1764.1533615278624,1.2258667183985739,-0.17653851607700385,-0.697119461567926
2011-10-01,201,-1780.0068052570923,-1778.8489105202502,1.2440512451215466,-0.17302278241278773,-0.7079247002917779
2012-01-01,204,-1800.2631488783977,-1799.1232525053408,1.2171227795885347,-0.14608971372412854,-0.8422661074955243
2012-04-01,207,-1850.1475503831393,-1849.0251014035475,1.2152460625010093,-0.16267165368330727,-0.7549786253232433
2012-07-01,210,-1891.5018213395515,-1890.3962937013605,1.2175662261877507,-0.17601486215567827,-0.6653535305494835
2012-10-01,213,-1902.6739724079855,-1901.5848634970944,1.2203430035981129,-0.16285343847834174,-0.6699491464658672
2013-01-01,216,-1931.6190032379777,-1930.5458325062705,1.2029483547676914,-0.14520564028747052,-0.6272052802000679
2013-04-01,219,-1924.6036312234653,-1923.545938915773,1.160928119173948,-0.1632892239035625,-0.8456676307144702
2013-07-01,222,-1969.4094187203857,-1968.3667646919496,1.2298001011336905,-0.1652805088001908,-0.6680713132452335
2013-10-01,225,-2023.1005341350558,-2022.0724967518781,1.2081821391343384,-0.1573511418752722,-0.6271037941348132
2014-01-01,228,-2004.8706470045806,-2003.856822119788,1.188531023318878,-0.1302604726992103,-0.727794051269102
