date,step,pred_mean,lower_95,upper_95,se_mean,var
2024-11-01,1,-0.013917380666554669,-0.027043474794517942,-0.0007912865385913959,0.006697109860946543,4.485128048958742e-05
2024-12-01,2,-0.009357545867647366,-0.033394950427337006,0.014679858692042271,0.01226420727589569,0.00015041078010613276
2025-01-01,3,-0.00505655360915214,-0.040945653539001786,0.03083254632069751,0.018311101741122944,0.0003352964469737557
2025-02-01,4,-0.0010044907032812492,-0.04954815572734596,0.04753917432078346,0.02476763114372047,0.0006134355524713923
2025-03-01,5,0.002808317781148623,-0.059006517013968626,0.06462315257626587,0.031538760550043156,0.0009946934170329586
2025-04-01,6,0.006391308045485379,-0.06914846435056919,0.08193108044153995,0.03854140840949255,0.001485440162187303
2025-05-01,7,0.00975367752020106,-0.07982890435728209,0.09933625939768422,0.045706238779946534,0.0020890602634094885
2025-06-01,8,0.01290438522750012,-0.09092579419803509,0.11673456465303533,0.0529755547778094,0.0028064094040166844
2025-07-01,9,0.015852152520246302,-0.10233583500661202,0.13404014004710463,0.06030110168304626,0.0036362228641890846
2025-08-01,10,0.0186054641710553,-0.11397098842749542,0.15118191676960602,0.06764229018711408,0.00457547942175775
2025-09-01,11,0.02117256978654376,-0.12575578086049305,0.16810092043358055,0.07496482170386236,0.005619724493091873
2025-10-01,12,0.02356148552283471,-0.1376252185731575,0.1847481896188269,0.08223962550710746,0.0067633560035492805
2025-11-01,13,0.025779996079495944,-0.14952315613506867,0.20108314829406054,0.08944202730118181,0.007999876247745352
2025-12-01,14,0.02783565695013109,-0.16140100009097544,0.21707231399123764,0.09655108896580812,0.009322112780483395
2026-01-01,15,0.029735796908854112,-0.17321666295973445,0.23268825677744268,0.10354907614091467,0.010722411169636945
2026-02-01,16,0.03148752071285675,-0.1849337068128577,0.24790874823857123,0.11042102264777186,0.012192802242579745
2026-03-01,17,0.03309771200222569,-0.1965206326394851,0.2627160566439365,0.11715436939296386,0.013725146267863027
2026-04-01,18,0.034573036379082434,-0.2079502835279826,0.2770963562861475,0.12373866143462739,0.015311256333633344
2026-05-01,19,0.03591994464900446,-0.219199337992863,0.2910392272908719,0.13016529112484507,0.01694300301361567
2026-06-01,20,0.037144676208542074,-0.23024787566642857,0.3045372280835127,0.13642727824803363,0.01861240225016639
2026-07-01,21,0.038253262563471224,-0.2410790018115675,0.31758552693850994,0.14251908023737986,0.02031168823170872
2026-08-01,22,0.03925153096322,-0.2516785202016361,0.3301815821280761,0.1484364271280877,0.022033372898552086
2026-09-01,23,0.04014510813767555,-0.26203464619663797,0.3423248624719891,0.1541761770715528,0.0237702935763988
2026-10-01,24,0.04093942412331917,-0.2721377535543354,0.3540166018009738,0.15973618910713025,0.025515650110468878
2026-11-01,25,0.04163971616635145,-0.28198014981055963,0.3652595821432625,0.165115210549573,0.027263032754829827
2026-12-01,26,0.04225103269115692,-0.29155587605641875,0.3760579414387326,0.1703127768574331,0.0290064419608898
2027-01-01,27,0.042778237323119056,-0.3008605277101827,0.38641700235642085,0.17532912224095978,0.03074030110578542
2027-02-01,28,0.043226012955432803,-0.30989109348469385,0.3963431193955595,0.180165099576048,0.0324594631052473
2027-03-01,29,0.043598865850173286,-0.31864581022799027,0.4058435419283369,0.18482210843439134,0.03415921176613391
2027-04-01,30,0.043901129764466564,-0.32712403169526727,0.41492629122420044,0.1893020302343987,0.035835258650865204
2027-05-01,31,0.04413697009317231,-0.33532610961641574,0.42360004980276034,0.19360716967390443,0.037483736149140016
2027-06-01,32,0.04431038802002915,-0.34325328567165303,0.4318740617117114,0.19774020173265175,0.03910118738126981
2027-07-01,33,0.04442522466973203,-0.35090759319065173,0.4397580425301158,0.201704123636311,0.04068455349189223
2027-08-01,34,0.04448516525390791,-0.35829176755754544,0.4472620980653612,0.20550221125924067,0.04223115883243758
2027-09-01,35,0.04449374320443209,-0.36540916444253874,0.45439665085140296,0.20913797951402818,0.043738694475210074
2027-10-01,36,0.04445434428798274,-0.37226368509619784,0.4611723736721633,0.21261514633493228,0.04520520045102467
2027-11-01,37,0.04437021069616662,-0.3788597080392563,0.46760012943158946,0.21593759991194048,0.046629047055729275
2027-12-01,38,0.044244445105965285,-0.38520202656239866,0.4736909167743292,0.21910936887401142,0.048008915528367606
2028-01-01,39,0.044080014705648526,-0.3912957915197093,0.47945582093100636,0.22213459515559808,0.04934377836494146
2028-02-01,40,0.04387975518168079,-0.39714645895849887,0.4849059693218605,0.22501750931085376,0.05063287949646016
2028-03-01,41,0.043646374662508376,-0.4027597421787764,0.49005249150379315,0.2277624080659029,0.051875714527978865
2028-04-01,42,0.04338245761545961,-0.4081415678591457,0.4949064830900649,0.23037363392193388,0.05307201120639721
2028-05-01,43,0.043090468693318375,-0.41329803592351505,0.49947897331015184,0.23285555664122798,0.05422171025869613
2028-06-01,44,0.042772756527443646,-0.41823538285565065,0.503780895910538,0.23521255646505126,0.05532494671882493
2028-07-01,45,0.04243155746460448,-0.42295994819704563,0.5078230631262546,0.23744900892700016,0.056382031840414605
2028-08-01,46,0.042068999244981656,-0.42747814398845435,0.5116161424784177,0.239569271138227,0.05739343567370133
2028-09-01,47,0.04168710461905483,-0.4317964269372749,0.5151706361753845,0.24157766943224845,0.05835977036831671
2028-10-01,48,0.0412877949013477,-0.435921273112188,0.5184968629148834,0.24347848826697835,0.059281774248773116
2028-11-01,49,0.04087289345924375,-0.4398591549834475,0.521604941901935,0.2452759602904157,0.06016029669638558
2028-12-01,50,0.04044412913531274,-0.44361652064226786,0.5245047789128934,0.24697425748421364,0.06099628385987866
2029-01-01,51,0.040003139601802816,-0.44719977504613195,0.5272060542497375,0.24857748330628993,0.061790765206888844
2029-02-01,52,0.03955147464615611,-0.45061526314875927,0.5297182124410715,0.2500896657598242,0.0625448409198606
