Factor,Order,AIC,AICc,BIC,boom,boom_se,boom_p,decline,decline_se,decline_p,LB_p12,LB_p24,boom_start,boom_end,decline_end
Mining,"(2,0,1)",-2542.4949,-2542.3240,-2523.1062,,,,,,,0.8427,0.9247,,,
Lifestyle,"(2,0,1)",-2887.6392,-2887.4682,-2868.2505,,,,,,,0.8983,0.9937,,,
