t_end,nobs,aic,aicc,market,mining,lifestyle
2009-01-01,168,-1434.495474826765,-1433.5898144494065,0.877531495259768,-0.042680370822076784,0.3777264839593158
2009-04-01,171,-1415.6806227687293,-1414.7917338798404,0.8150446129967162,-0.024987199402037006,0.28948708760760516
2009-07-01,174,-1443.8908935250915,-1443.0181662523644,0.8147893155151192,-0.03197172457103423,0.30275570691094494
2009-10-01,177,-1516.1867221394705,-1515.3295792823276,0.873366051689511,-0.033032164074213693,0.3976928435790012
2010-01-01,180,-1542.2741429457983,-1541.4320376826404,0.8787679857712518,-0.04387976287959231,0.38091526624749084
2010-04-01,183,-1553.4319474750512,-1552.6043612681547,0.8808336722138204,-0.07251614515395602,0.41481616896290835
2010-07-01,186,-1549.9938691432435,-1549.1803098212097,0.7632242510479569,-0.008087736008658909,0.2969034785876771
2010-10-01,189,-1576.5776390091194,-1575.7776390091194,0.7405716391583453,-0.01408515598088207,0.28787684869089164
2011-01-01,192,-1645.5570337860909,-1644.7701485401892,0.8940045067543297,-0.05302829176542676,0.3753992791286093
2011-04-01,195,-1675.2787010873408,-1674.5045075389537,0.8740156706427794,-0.057925127002666554,0.3534420307366323
2011-07-01,198,-1658.1706846974564,-1657.4087799355516,0.7574932408475986,-0.012490689848807482,0.2705084405768376
2011-10-01,201,-1729.7285047571154,-1728.9785047571154,0.888679293980677,-0.05918440802346649,0.365662180971116
2012-01-01,204,-1757.6468589235851,-1756.9083973851236,0.9037411736361298,-0.04494331881955339,0.38124102489959927
2012-04-01,207,-1751.6885474672697,-1750.961274739997,0.8358628632850558,-0.041356836723778344,0.37444874240753534
2012-07-01,210,-1758.0992565359973,-1757.3828386255495,0.8060152885643923,-0.010504861503931442,0.29178578072759814
2012-10-01,213,-1834.055510961959,-1833.3496286090178,0.8845251608427112,-0.039510955765101066,0.3619177515365335
2013-01-01,216,-1860.4787788747367,-1859.7831267008237,0.882517520537127,-0.03903001249464549,0.3606172945297199
2013-04-01,219,-1886.3698572014625,-1885.6841429157482,0.8815903116690812,-0.04067407862029244,0.3633067593961751
2013-07-01,222,-1914.5593726214936,-1913.8833162834653,0.8796623602105689,-0.03948198802593457,0.3648615767077629
2013-10-01,225,-1893.5860568845135,-1892.9193902178467,0.8132377441868045,-0.014040886779621441,0.29186168038860627
2014-01-01,228,-1967.480821738147,-1966.8232874915716,0.8732972634017282,-0.047956514569446336,0.3814316253036911
2014-04-01,231,-1991.2810673104768,-1990.632418661828,0.931220905144299,-0.024196784334810286,0.3075952629373276
2014-07-01,234,-2027.7322496589018,-2027.0922496589017,0.8826797118452325,-0.039408347693707435,0.35441491535856273
2014-10-01,237,-1990.851632507952,-1990.2200535605837,0.6929386247888196,-0.03787689962237179,0.2485808261476271
2015-01-01,240,-2069.0303360041266,-2068.40695938075,0.8820537041795075,-0.01212268986625921,0.44806767592554214
2015-04-01,243,-2108.9086204535643,-2108.2932358381795,0.8696808537958283,-0.028782205822219416,0.374541009359903
2015-07-01,246,-2074.9241770878034,-2074.3165821510947,0.7420416105078351,-0.019620566754192353,0.2879063798164144
2015-10-01,249,-2102.523097812183,-2101.923097812183,0.7806446950786831,-0.004791158610696152,0.31584399012989023
2016-01-01,252,-2186.234927060864,-2185.642334468271,0.8734415647225405,-0.028233201257850202,0.38013441410179655
