,mae,mae,mae,mape_pct,mape_pct,mape_pct,rmse,rmse,rmse
model,current,seasonal,simplified,current,seasonal,simplified,current,seasonal,simplified
horizon,,,,,,,,,
1,0.002246,0.002236,0.002233,0.435,0.433,0.434,0.002836,0.00282,0.002822
3,0.009219,0.009427,0.009165,1.73,1.739,1.731,0.011398,0.011551,0.011304
6,0.021826,0.023179,0.021605,4.001,4.177,3.977,0.026989,0.028803,0.026834
12,0.052177,0.055545,0.051804,9.282,9.531,9.176,0.06325,0.067899,0.063046
24,0.108943,0.112408,0.107299,19.067,19.128,18.68,0.119654,0.125704,0.117696
