t_end,nobs,aic,aicc,market,mining,lifestyle
2009-01-01,168,-1257.9391162235138,-1257.0334558461552,0.8298454313416271,0.0614716252027448,0.1424412317623505
2009-04-01,171,-1282.2287098055858,-1281.339820916697,0.8164220535237484,0.07202724110906497,0.16224296108379607
2009-07-01,174,-1307.6230516424578,-1306.7503243697306,0.8230370276395139,0.06602246507797127,0.13943899562661977
2009-10-01,177,-1331.1447928897403,-1330.2876500325974,0.8114767648549723,0.06722032063390936,0.14577074631307319
2010-01-01,180,-1355.2554126338546,-1354.4133073706967,0.8111636388586777,0.06935836131568518,0.16011527082802673
2010-04-01,183,-1376.4384613827156,-1375.610875175819,0.8314957336997713,0.0799178758965504,0.17429766658604023
2010-07-01,186,-1402.0190539944485,-1401.2054946724147,0.8270477893334907,0.07814361538948296,0.18228568633352565
2010-10-01,189,-1426.752087723501,-1425.952087723501,0.8293323632842473,0.07920868392562219,0.18073186005016084
2011-01-01,192,-1452.6604922111508,-1451.873606965249,0.8328071917885155,0.07551012983060171,0.17074103847551184
2011-04-01,195,-1478.5132700445179,-1477.7390764961308,0.80633583695686,0.0854798476681188,0.1634002802241982
2011-07-01,198,-1502.927150695457,-1502.1652459335521,0.7986365329163717,0.06738726317950522,0.18644184501307434
2011-10-01,201,-1526.0957353049305,-1525.3457353049305,0.7940385869909088,0.07993580213840683,0.17119310161853749
2012-01-01,204,-1550.347170141239,-1549.6087086027776,0.7996952387037514,0.08829717328522306,0.16230169465623812
2012-04-01,207,-1576.2358698243197,-1575.508597097047,0.7982441209251768,0.08139617912827139,0.16600352579841185
2012-07-01,210,-1596.245352123506,-1595.5289342130584,0.8135602002350635,0.08855964959087158,0.20314780276368433
2012-10-01,213,-1621.4678550575095,-1620.7619727045683,0.7994773774542213,0.08007685721145788,0.17071192768419055
2013-01-01,216,-1645.9419016306545,-1645.2462494567415,0.8041991710052326,0.07740726376558879,0.17304781504315928
2013-04-01,219,-1662.424643872891,-1661.7389295871767,0.7968576806507555,0.09492520145446794,0.2279187310371435
2013-07-01,222,-1687.6571905360265,-1686.9811341979982,0.7795863155845564,0.08398480350834654,0.18741550922331673
2013-10-01,225,-1711.485678289553,-1710.8190116228864,0.7922177021372186,0.09007916989886905,0.23468955053538654
2014-01-01,228,-1732.3284863500405,-1731.6709521034652,0.7848120462060466,0.09039719593000045,0.24028124317886115
