t_end,nobs,aic,aicc,market,mining,lifestyle
2009-01-01,168,-1176.7805058795684,-1175.8748455022098,0.816188438970448,0.4160046927538079,-0.18056500574695672
2009-04-01,171,-1200.9059185542487,-1200.0170296653598,0.8160157676598399,0.4207973352952432,-0.18397522094761304
2009-07-01,174,-1220.6654031399207,-1219.7926758671936,0.788969977782557,0.4085994965471064,-0.15885226192346333
2009-10-01,177,-1241.7474696117695,-1240.8903267546266,0.7997528481125507,0.3989732105066969,-0.17905253150955996
2010-01-01,180,-1265.3019927164264,-1264.4598874532685,0.8230003113215918,0.39922561747049695,-0.1485541931866331
2010-04-01,183,-1289.4745543581143,-1288.6469681512178,0.7880642032580361,0.40085124458340576,-0.17634311301955716
2010-07-01,186,-1311.5596254489078,-1310.746066126874,0.7866056266875288,0.3844465901702251,-0.16047479924608507
2010-10-01,189,-1335.8789466174726,-1335.0789466174726,0.7880381230750065,0.3875113602961748,-0.16029622543814262
2011-01-01,192,-1351.7716326565526,-1350.984747410651,0.7979382132022126,0.25338750847723496,-0.10777029060200853
2011-04-01,195,-1382.9898019877928,-1382.2156084394057,0.783836724057646,0.3912644603834886,-0.14702844977963853
2011-07-01,198,-1401.5237053785145,-1400.7618006166097,0.8228702254533556,0.30085757068473057,-0.08423624837434937
2011-10-01,201,-1427.995180304731,-1427.245180304731,0.7914209055165946,0.3755646735401254,-0.1683587892754309
2012-01-01,204,-1449.895227949587,-1449.1567664111255,0.7899898185419625,0.37642534426801627,-0.15316564680541203
2012-04-01,207,-1472.6355602441547,-1471.908287516882,0.7895528836341189,0.36838137937215637,-0.15836129570452062
2012-07-01,210,-1495.0021796853268,-1494.2857617748791,0.7951889730569316,0.3698775840798518,-0.16350952833499888
2012-10-01,213,-1516.674074484983,-1515.9681921320418,0.8098531440294212,0.33226831084199515,-0.0726791438271045
2013-01-01,216,-1538.1785164580454,-1537.4828642841323,0.8075107310969124,0.32813859307539667,-0.08480620145733016
2013-04-01,219,-1562.7170360814596,-1562.0313217957453,0.7898524586717471,0.33974242398095456,-0.14349049006743453
2013-07-01,222,-1586.4362299652046,-1585.7601736271763,0.7807989827805262,0.3414903720226606,-0.1381615802253588
2013-10-01,225,-1611.1450378060758,-1610.478371139409,0.7788482177635222,0.3392921358536418,-0.1408761312638573
2014-01-01,228,-1634.335297626514,-1633.6777633799386,0.7712281393519888,0.3356222955538006,-0.12992696398042505
2014-04-01,231,-1656.2468316392092,-1655.5981829905604,0.7700827029945632,0.32384682123300207,-0.11556220419179658
2014-07-01,234,-1676.5962460430164,-1675.9562460430163,0.7656930112173143,0.31241412321043377,-0.10477237059267153
2014-10-01,237,-1694.5625647596205,-1693.9309858122522,0.7724402772839022,0.2146188013858653,-0.12204528126748872
2015-01-01,240,-1720.5694479603285,-1719.946071336952,0.7427447643687368,0.3005676708418385,-0.05265804133637165
2015-04-01,243,-1745.478593675223,-1744.8632090598385,0.7238721356976291,0.31326343219034875,-0.10836523189040698
2015-07-01,246,-1762.6573583095285,-1762.0497633728196,0.6551393102253459,0.19933562576046382,-0.018000081144480585
2015-10-01,249,-1788.6382687860269,-1788.038268786027,0.7618728543912394,0.23799190852898328,-0.11607960173852032
2016-01-01,252,-1811.1672099946145,-1810.5746174020219,0.6994883064465293,0.2709572176541795,-0.0973391996573699
2016-04-01,255,-1832.2822195965991,-1831.6968537429407,0.6994768328248103,0.1826268457072331,-0.12137951889059692
2016-07-01,258,-1849.285073264907,-1848.7067600118949,0.6535084209761884,0.19639036095450413,-0.05391120119066021
2016-10-01,261,-1873.3796339085925,-1872.8082053371638,0.647652221876008,0.24006223740338853,-0.11317219127701646
2017-01-01,264,-1894.5919290057154,-1894.0272231233625,0.655139379096704,0.24806302938503794,-0.0940032331407753
2017-04-01,267,-1913.5747180025915,-1913.0165784677076,0.6356696457150698,0.1496295229927271,-0.10690938218877068
2017-07-01,270,-1940.6715361306622,-1940.1198119927312,0.6489270680799034,0.25371091644197913,-0.08874236907639255
2017-10-01,273,-1960.9837091485488,-1960.4382546030943,0.6457827284109067,0.2333472328563212,-0.10013675561969167
2018-01-01,276,-1982.4816434398606,-1981.942317597164,0.644473983067382,0.23545364186201906,-0.10137440386754375
2018-04-01,279,-2006.1146330773806,-2005.5812997440473,0.6469566596642556,0.23000835504817765,-0.10157089921017465
2018-07-01,282,-2025.1955424122605,-2024.6680698847879,0.6730236358498213,0.1407538472083172,-0.10479725853419754
2018-10-01,285,-2052.8675180623095,-2052.3457789318745,0.6472830588923814,0.2341489685434751,-0.10948074323722672
2019-01-01,288,-2072.951172107818,-2072.43504307556,0.6516105425554374,0.14297754958431766,-0.08084605763970684
2019-04-01,291,-2099.2574381235504,-2098.746799825678,0.6349753074362993,0.21775115184402116,-0.09367420353976882
2019-07-01,294,-2122.1289655032765,-2121.623702345382,0.6558199395588793,0.19934518393935458,-0.12230985360744413
2019-10-01,297,-2138.7568273422576,-2138.2568273422576,0.6910653204329015,0.15735759372651142,-0.11183250648009423
2020-01-01,300,-2166.988351072284,-2166.493505711459,0.6318950027145627,0.24511074532486457,-0.09505829125834944
2020-04-01,303,-2176.4400359689125,-2175.9502400505453,0.37594817653625323,0.10184306184457081,-0.10168002485053983
2020-07-01,306,-2202.063371228798,-2201.5785227439496,0.7219115351469341,0.17179133846979305,-0.08071090325597688
2020-10-01,309,-2225.238007962871,-2224.758007962871,0.7258822144012598,0.18060823379127938,-0.08120423019737769
2021-01-01,312,-2249.7656850610433,-2249.290437536291,0.7699767346137579,0.2561624634352073,-0.04779804621163326
2021-04-01,315,-2273.359582035021,-2272.888993799727,0.6871752505909796,0.2547452752992697,-0.06325102486005049
2021-07-01,318,-2294.322682959804,-2293.856663542328,0.7486999530737435,0.2624390346155342,-0.07753334305535889
2021-10-01,321,-2314.500298616459,-2314.0387601549205,0.7367505483948301,0.27770066727826087,-0.15443569947474622
2022-01-01,324,-2246.176553100967,-2245.719410243824,0.7590997944534152,0.5059361827363138,-0.026844659029728712
2022-04-01,327,-2366.0563528224156,-2365.6035226337362,0.6923925770170731,0.26038930091805407,-0.041520237380613584
2022-07-01,330,-2388.10957826311,-2387.660980132269,0.6909578845577835,0.2617785653994696,-0.04038244508406964
2022-10-01,333,-2409.5202656523893,-2409.075821207945,0.7052912336163994,0.260866868452134,0.010096104008319793
2023-01-01,336,-2433.5473758023327,-2433.1070088298557,0.7120709303929683,0.23203344867121392,-0.08213339621600785
2023-04-01,339,-2458.3361005092615,-2457.899736872898,0.7473549251003817,0.2564541305360156,-0.04312478970444646
2023-07-01,342,-2478.0308968533054,-2477.598464420873,0.6528538220849782,0.27039930777789317,-0.016989985435303934
2023-10-01,345,-2499.8098490125503,-2499.3812775839788,0.671924569121274,0.2870301456523379,-0.03286530143822877
2024-01-01,348,-2522.501275682991,-2522.076496921929,0.7396721162496449,0.30927135853747506,-0.02756183259609503
2024-04-01,351,-2537.4473002240593,-2537.0262475924806,0.7717543701170497,0.384658823456608,-0.05787944176852446
2024-07-01,354,-2545.8314149131033,-2545.4140236087555,0.7812864267373463,0.4466183185364756,-0.07256665984116431
2024-10-01,357,-2582.426949123287,-2582.013156019839,0.7554050172962025,0.266495240802325,-0.05921747972215518
