month_date,market,mining,lifestyle,lifestyle_melb_nsw
1995-02-01,-1.0835075909765624,0.08318513373905055,0.10488224330803397,0.07309496485964831
1995-03-01,-1.087395272976459,0.0743669290207706,0.10260096150417208,0.07296799659050729
1995-04-01,-1.0880536085890944,0.07821043498801968,0.09950142717599342,0.0716729736074755
1995-05-01,-1.0876875666983266,0.07786963664898984,0.09847267447651459,0.0669969381583554
1995-06-01,-1.0878252882893544,0.07223298956605954,0.0978862173284724,0.06458581280115372
1995-07-01,-1.087844546251017,0.07674845011817784,0.09334554812274728,0.06550693808649653
1995-08-01,-1.085340337181737,0.07335969578402814,0.08824541636879907,0.059432103147498694
1995-09-01,-1.0821326910895372,0.07150562690171916,0.08423582737703667,0.05465800388117449
1995-10-01,-1.0805414227370362,0.07092468624864944,0.08819796170862726,0.06155562611275267
1995-11-01,-1.0792687195824868,0.07342134971092067,0.08085481082377349,0.052917355048058695
1995-12-01,-1.0797591997417473,0.06996059510964853,0.07856848790356054,0.04857785498924518
1996-01-01,-1.0761170404536617,0.0707214189730661,0.07723220185402238,0.04550500294201957
1996-02-01,-1.0750255005231446,0.06298291509067314,0.07647390108068458,0.04695610464956324
1996-03-01,-1.0729056518991826,0.0689693486611904,0.07181037219783867,0.043675843518072466
1996-04-01,-1.07204322829184,0.06383724804759973,0.06733976466467018,0.04173034286193091
1996-05-01,-1.0724174678479135,0.05064603809289229,0.06547224205692656,0.03944242312723076
1996-06-01,-1.0738500059042801,0.04796137767417464,0.06574313868143938,0.042084188903424816
1996-07-01,-1.0723943124031101,0.04392507618496508,0.06273830316657612,0.03871491845556829
1996-08-01,-1.0683475468294013,0.03709855643234679,0.061348147434886834,0.03379439070458973
1996-09-01,-1.0676783824980223,0.04430372926198778,0.05549307660554613,0.030592768029093234
1996-10-01,-1.0655026559308831,0.03811248569307636,0.052515452298443926,0.03106412945206191
1996-11-01,-1.0610749686027472,0.037804050351379084,0.04992268336162782,0.03299654158494208
1996-12-01,-1.055659415782526,0.035215912764420515,0.042940572511886196,0.024794130774100233
1997-01-01,-1.0515315662133802,0.028242237935223777,0.03978196933720583,0.021488083485491506
1997-02-01,-1.0467084892404064,0.016295840989573332,0.03555995542603688,0.01929683719473125
1997-03-01,-1.0432043469671637,0.011863421597448867,0.024314508904457854,0.011597119459237581
1997-04-01,-1.0398808344068062,0.0037550039513741668,0.015566430295244932,0.00827996691030422
1997-05-01,-1.0359323195800156,-0.01210776886510069,0.015136147713447831,0.003346875399511881
1997-06-01,-1.0302285105688063,-0.010689515645596573,0.014881868102266008,0.0002503237453460594
1997-07-01,-1.0223401665931517,-0.023092290327250728,0.01218356329915389,-0.0056764158492448175
1997-08-01,-1.0176225213426595,-0.02889720387251042,0.007236498922834567,-0.010003880396689799
1997-09-01,-1.013031221931932,-0.03886567674110984,-0.0022260158050342455,-0.021221668559398763
1997-10-01,-1.0051889908825085,-0.04139397600728155,-0.013183446325135212,-0.03565878028771732
1997-11-01,-0.9996989856932659,-0.03863397055469188,-0.01535763997290425,-0.034842803067550526
1997-12-01,-0.9969513403964414,-0.031719086143676536,-0.017561010832092883,-0.03091326244193468
1998-01-01,-0.9941598421188522,-0.04774412155982673,-0.0148644915970568,-0.032938744425929645
1998-02-01,-0.9898731457659158,-0.05114392506138217,-0.021722035223356084,-0.035473332874884106
1998-03-01,-0.9851815116027931,-0.05083553809104015,-0.03816668135503498,-0.0470977964822315
1998-04-01,-0.9835177030240194,-0.05526318065919665,-0.0431539814686803,-0.055012920007226185
1998-05-01,-0.9797352679957143,-0.05787247514353745,-0.049030084190388734,-0.059049699953821755
1998-06-01,-0.9789702219913915,-0.06017700883599496,-0.043330446087615604,-0.058013370749890686
1998-07-01,-0.978006155394584,-0.05897444169355502,-0.04405128764034194,-0.05023583208385046
1998-08-01,-0.9744686680144019,-0.059072169613273814,-0.049575701758445,-0.052743334207817405
1998-09-01,-0.9674260900734649,-0.06470980012609358,-0.05526413925774118,-0.059297488576313784
1998-10-01,-0.9600950435610285,-0.0771895883432759,-0.05616489627373453,-0.05923589377516614
1998-11-01,-0.9515790072147181,-0.08102837112071266,-0.058583079385665315,-0.05894261005079787
1998-12-01,-0.9463773096532753,-0.08005919635053783,-0.058138208492591326,-0.061179133835649935
1999-01-01,-0.9406103983252077,-0.07684082754059991,-0.0583495647174532,-0.06155736552991842
1999-02-01,-0.9349726774909446,-0.08697322025211819,-0.06311210873633599,-0.0678918706504281
1999-03-01,-0.9290850915615105,-0.09764264533677859,-0.07162616923350873,-0.07408709776717493
1999-04-01,-0.9246178123378583,-0.09505843619821898,-0.08061890686827419,-0.07893712607746098
1999-05-01,-0.9156168062350941,-0.10731967877667305,-0.08838567941942438,-0.09004602833732495
1999-06-01,-0.9091347783460115,-0.11779450418784233,-0.09621025580655829,-0.09448565420323332
1999-07-01,-0.9002833917838295,-0.12005206934078207,-0.10474267094849804,-0.10211818712710966
1999-08-01,-0.8896282820491375,-0.11953142385582201,-0.10637878995111888,-0.10603141754691578
1999-09-01,-0.8795535476386761,-0.12472167692508714,-0.11034324447619576,-0.11507831299023266
1999-10-01,-0.8671920919792756,-0.12878716389267802,-0.1137933646719716,-0.11899056175505782
1999-11-01,-0.8583247132025,-0.13695342449766335,-0.11729480645782525,-0.11851788702559043
1999-12-01,-0.8539410709497207,-0.13972783315178616,-0.11730558958272666,-0.11348013748677474
2000-01-01,-0.8445370964310579,-0.14276978778914579,-0.12399447179183745,-0.12118516327912501
