region,alpha,r2,durbin_watson,market,mining,lifestyle,region_level
AUSTRALIAN CAPITAL TERRITORY,0.020322920544851186,0.9963123079204225,0.10372263938703633,1.0439580637424044,-0.06513070625372609,0.06873197271854767,major_city
GREATER ADELAIDE,0.033884887200776426,0.9973289206062489,0.04395169985389774,0.970809577125608,0.1826324378047736,-0.04474789666957148,major_city
GREATER BRISBANE,-0.025547634094695626,0.9979306919310665,0.028225636963175513,1.022242866091433,0.21519390036159808,0.16533433807315806,major_city
GREATER DARWIN,-0.0015959116790387196,0.9860364258015971,0.042336435901308485,1.036461374489138,0.5421435380729132,-1.2634716781510384,major_city
GREATER HOBART,-0.1509534836302644,0.985673763976578,0.02439304980178425,1.1660157981458814,0.044609597071031154,0.40151273873930204,major_city
GREATER MELBOURNE,-0.0065203949535366235,0.9985430779766215,0.016795080810170126,1.206629512442419,-0.2376686570762261,-0.5854723311717039,major_city
GREATER PERTH,0.09454075262768036,0.9735300024695138,0.014596609083345292,0.8845605893278353,0.6999233089081146,-0.44866129763939067,major_city
GREATER SYDNEY,-0.02359084781744203,0.9980687053924673,0.028225636963175465,0.9439455644714909,-0.7246949441245398,0.15267077937722517,major_city
REST OF NSW,-0.00516763790582031,0.9985368944558316,0.016795080810170147,0.956295508356736,-0.18836060853436049,0.5359929831043598,major_city
REST OF NT,-0.04040365201965368,0.9800166362379541,0.03311212631587798,0.7925192236409558,0.31718285866210283,-1.0618986356805298,major_city
REST OF QLD,-0.011143664933982,0.9983404583822035,0.05846893152600064,0.875906644283831,0.4031465433895957,0.29855198547170436,major_city
REST OF SA,0.0794654812449308,0.9931368415591629,0.038714518341071466,0.7894483180763201,0.43596945530356845,0.13435586080268958,major_city
REST OF TAS.,-0.09925531797962805,0.9870031822907299,0.019124219260380514,1.0738080301897,0.2914678544842326,0.45302248064818507,major_city
REST OF VIC.,-0.011687575991329746,0.993496530532254,0.014904241976393725,1.060015800112644,-0.04771255700391758,0.10820063421139384,major_city
REST OF WA,0.05689159683751466,0.9697015519205742,0.023470431120748522,0.7284663205351043,1.0485962094983188,-0.44643334647715727,major_city
ADELAIDE - CENTRAL AND HILLS,-0.004425891902630541,0.9971529954347741,0.11456088843147863,0.9978186042104707,0.08832101917536431,-0.11123145638977933,sa4_name
ADELAIDE - NORTH,0.05507844579439347,0.9964140327378298,0.10191408748323522,0.93815159328262,0.27716994482232765,-0.00945706371328664,sa4_name
ADELAIDE - SOUTH,0.03297222726218396,0.9961307901684644,0.09070291657390718,0.9746298207481856,0.1669755728124886,-0.03448555104846768,sa4_name
ADELAIDE - WEST,0.039017393450072824,0.9972334403449238,0.1050329223576242,1.0017876898832874,0.12428180372437103,-0.05632389788641563,sa4_name
AUSTRALIAN CAPITAL TERRITORY,0.020322920544851186,0.9963123079204225,0.10372263938703633,1.0439580637424044,-0.06513070625372609,0.06873197271854767,sa4_name
BALLARAT,-0.0467587957447535,0.9887363791978843,0.02985399839158015,1.0855083687372837,-0.17629660581773457,0.014657599144444575,sa4_name
BAROSSA - YORKE - MID NORTH,0.08548639580429918,0.9889354421616525,0.039056220280504886,0.8152232765631187,0.5960097350571455,-0.06022835768099499,sa4_name
BENDIGO,-0.033345453026481175,0.9883933975130118,0.028406579478782553,1.1244600516673156,-0.09391637662357909,-0.15852555736298848,sa4_name
BRISBANE - EAST,0.010989572745264686,0.9958170674269571,0.08657813540067243,0.9449944588390986,0.18272219873633894,0.3276952826407045,sa4_name
