period,log_index,se,index,n_pair_endpoints
2014-01-01,0.0,0.0,100.0,
2014-02-01,0.008171150610484403,0.0013172720763958473,100.82046255758435,24421.0
2014-03-01,0.00994359518397174,0.0013013518301211557,100.99931969970231,26475.0
2014-04-01,0.011051210174215861,0.001316760024476233,101.11125003662255,24568.0
2014-05-01,0.008907998729061136,0.0012821906881280653,100.89477930244826,29345.0
2014-06-01,0.00939576824875545,0.0012951942914776885,100.94400470483775,27353.0
2014-07-01,0.0067099403181111105,0.0012688718780982323,100.67325024028315,31709.0
2014-08-01,0.006584532068373326,0.001267985222001055,100.66062577579767,29847.0
2014-09-01,0.0065271680054719465,0.0012620432933289599,100.65485163894452,31499.0
2014-10-01,0.009636913989371772,0.001252300803691228,100.96834985685996,33661.0
2014-11-01,0.00865266865719078,0.0012648089577460256,100.86902111975688,31488.0
2014-12-01,0.008378537213781852,0.0012649603275388867,100.8413735391108,31372.0
2015-01-01,0.013769145368801609,0.0012159549218747007,101.38643766332869,40902.0
2015-02-01,0.015046491308938531,0.0012113276816021709,101.51602596478845,40765.0
2015-03-01,0.013600094099561803,0.0012175990671916782,101.369299606004,41834.0
2015-04-01,0.011844088250331192,0.001238667391276092,101.19145072050564,37043.0
2015-05-01,0.010097638238688554,0.0012289549766674862,101.01487914181439,40099.0
2015-06-01,0.008446874661198537,0.001221689211719745,100.84826501664277,42350.0
2015-07-01,0.00771776523431676,0.0012053548825191863,100.77476239491784,48260.0
2015-08-01,0.009269152380852153,0.0012139996309972591,100.9312244011841,44855.0
2015-09-01,0.008299630340521495,0.0012100949011260322,100.83341677555535,46141.0
2015-10-01,0.010712551821611816,0.0012111640100146625,101.07701366479928,46257.0
2015-11-01,0.01009431222373441,0.001210517143787909,101.01454316537453,46509.0
2015-12-01,0.008640335706233706,0.0012203579718879313,100.86777711473746,43145.0
2016-01-01,0.01432198748303673,0.001190135963022511,101.44250385232851,54980.0
2016-02-01,0.01654076834102372,0.001183098480811823,101.66783242298116,58522.0
2016-03-01,0.014837479898777813,0.0011966959724376018,101.49481017429602,52190.0
2016-04-01,0.0126005527995632,0.0012018379802103871,101.26802742579079,50245.0
2016-05-01,0.010383074642509552,0.0011981666163725163,101.04371658108073,52122.0
2016-06-01,0.008381845366703436,0.0011985424505379838,100.8417071383471,52134.0
2016-07-01,0.008270641731655773,0.001195502599323879,100.8304937974426,53842.0
2016-08-01,0.009649519170598286,0.00118684726057759,100.96962258922954,58503.0
2016-09-01,0.010509732665728803,0.0011928388903169973,101.05651538900038,55368.0
2016-10-01,0.01074373042602822,0.0011961563487588377,101.08016515415319,53704.0
2016-11-01,0.012860747579438978,0.001189147887057327,101.29438026618239,57670.0
2016-12-01,0.012143460787809323,0.0012037459545886117,101.22174919691854,50320.0
2017-01-01,0.01667930701703909,0.0011740974181303398,101.68191832557703,67680.0
2017-02-01,0.021626855944855174,0.001178143494924957,102.18624114373193,64556.0
2017-03-01,0.019736568695411266,0.001177820815992214,101.99326224526739,65026.0
2017-04-01,0.0205371330700399,0.0012078681122993176,102.0749471101068,48618.0
2017-05-01,0.019138256206903716,0.0011816650605982364,101.93225665474566,63058.0
2017-06-01,0.01784975093975954,0.0011865548719903897,101.80100098512466,59820.0
2017-07-01,0.018622265037127304,0.0011846473122232208,101.87967407763581,61172.0
2017-08-01,0.01983653473212121,0.0011790579994721572,102.00345861710211,65003.0
2017-09-01,0.021780599897147153,0.001189274208077841,102.20195286807561,58399.0
2017-10-01,0.022468020125289916,0.0011849229429992097,102.2722327109581,61320.0
2017-11-01,0.024886240301243,0.0011814996542092967,102.5198487619375,63524.0
2017-12-01,0.02371782001152767,0.00120047774772387,102.40013244365291,52540.0
2018-01-01,0.02973278903152487,0.0011680507497814233,103.01792219843566,74656.0
2018-02-01,0.03492083321383997,0.0011755425264791865,103.55377253608191,68107.0
2018-03-01,0.034562616217489045,0.0011801496139311684,103.5166844579098,64707.0
2018-04-01,0.03294507624680618,0.0011919074887379068,103.34937743254602,57297.0
2018-05-01,0.032292887101972916,0.001179028127290892,103.28199606554568,65786.0
2018-06-01,0.03133406329233596,0.0011874930874713778,103.18301428923633,60136.0
2018-07-01,0.03181099948086943,0.001177318505789182,103.23223774008228,67324.0
2018-08-01,0.03163237262594258,0.0011817429470485745,103.21379933697372,64083.0
2018-09-01,0.03271746636968336,0.0012047842175911757,103.32585677031693,50994.0
2018-10-01,0.03763932417454177,0.001176868485143903,103.83566551882694,68073.0
2018-11-01,0.037934362596061186,0.0011797126983742092,103.8663055494499,65782.0
2018-12-01,0.03616141617025309,0.0011987821253729332,103.6823193013389,54014.0
2019-01-01,0.043298465224128245,0.0011642303086859393,104.42495205107731,79981.0
2019-02-01,0.04981301014314738,0.0011705939941996676,105.10745377220094,73616.0
2019-03-01,0.047832941522551846,0.0011762131941472397,104.89953971118014,68681.0
2019-04-01,0.045424873912756965,0.0011896094700843852,104.64723842851275,59324.0
2019-05-01,0.04258339917389096,0.0011753157128807656,104.35030800396048,69597.0
2019-06-01,0.04140898256111547,0.0011880991648582843,104.22782920333893,60192.0
2019-07-01,0.042831878323217644,0.0011710303331828472,104.3762401013846,73554.0
2019-08-01,0.04252067129575761,0.0011748202419092706,104.34376253585063,70328.0
2019-09-01,0.0447418183302414,0.0011818578804718117,104.57578295491763,64807.0
2019-10-01,0.047465444172285404,0.0011754085456255788,104.86099649099154,69871.0
2019-11-01,0.04950691979480546,0.0011814428768104122,105.07528631838721,65390.0
2019-12-01,0.049978806000072616,0.0011931987049492937,105.12488159725902,57576.0
2020-01-01,0.05829176509040923,0.001165090005591917,106.00242286613152,80159.0
2020-02-01,0.0652753923566543,0.0011719862654270522,106.74529522937348,73347.0
2020-03-01,0.05982825244651907,0.0011805886577377057,106.16541943760116,66156.0
2020-04-01,0.03127890545698546,0.001203968364238143,103.17732309448162,52018.0
2020-05-01,0.029633911972732886,0.001179782867438071,103.0077365928555,66749.0
2020-06-01,0.03658031004891207,0.001175055289478148,103.72576028816589,70923.0
2020-07-01,0.03956190644965799,0.0011749735872421158,104.0354901569807,70989.0
2020-08-01,0.03905445423134155,0.0011919741430935593,103.98271050942411,58737.0
2020-09-01,0.042479122214952064,0.0011895763973140897,104.33942723849393,60223.0
2020-10-01,0.04644072777746848,0.0011870718912526403,104.753598744224,61938.0
2020-11-01,0.04557326576863512,0.0011868234807179384,104.66276837866626,62155.0
2020-12-01,0.046812378010074006,0.0011888619099888877,104.79253767894745,60796.0
2021-01-01,0.05246300299340236,0.0011757886685333117,105.38635715597655,70608.0
2021-02-01,0.06291111489592521,0.001181091475858998,106.49321784168883,66448.0
2021-03-01,0.06702175899282535,0.0011771679466492757,106.93187452203708,69556.0
2021-04-01,0.06993693649318647,0.0011913141700431252,107.24405472598613,59356.0
2021-05-01,0.07320770295260741,0.0011883814128139988,107.59539925288226,61281.0
2021-06-01,0.08239197440192494,0.0011918961660227344,108.58813641191685,59244.0
2021-07-01,0.0906978275980819,0.0011945817092279007,109.4938095190863,57593.0
2021-08-01,0.09917078571921462,0.00119759372091039,110.42548744184009,55919.0
2021-09-01,0.10442875405114908,0.0011994109718119765,111.00763026093081,54995.0
2021-10-01,0.10760805203513664,0.0011971451097447599,111.36111822005176,56255.0
2021-11-01,0.11308634799882518,0.0011875920193453711,111.97286150995119,62186.0
2021-12-01,0.11844841222297552,0.001196717992345166,112.574879772602,56581.0
2022-01-01,0.12625944597354977,0.0011866885421818452,113.45764914032786,62980.0
2022-02-01,0.1400327387972471,0.0011851369201651108,115.03114580543617,64121.0
2022-03-01,0.15321286527844624,0.0011851919403771003,116.55730625721195,64050.0
2022-04-01,0.16610905015162084,0.001210806381170785,118.07018504189233,49709.0
2022-05-01,0.17532641654421013,0.001193338391882697,119.1635122554902,58819.0
2022-06-01,0.18111813149610503,0.0011976536528866433,119.85567582335858,56369.0
2022-07-01,0.19047034872153057,0.0011961824100279565,120.98185004403813,57248.0
2022-08-01,0.19944799576116573,0.001189026419109746,122.0728724712117,61612.0
2022-09-01,0.20798474565894262,0.0011986981084116473,123.11943883465129,55830.0
2022-10-01,0.21926204187407894,0.0012003910314197749,124.51575173506771,54984.0
2022-11-01,0.23112096006270796,0.0011959589620642811,126.00116413189224,57513.0
2022-12-01,0.2358569736078492,0.0012094675236496272,126.59932267736235,50560.0
2023-01-01,0.2476785522056813,0.001191711056575276,128.10480759240008,60322.0
2023-02-01,0.263992592801139,0.0011953423005765034,130.2118551214123,58014.0
2023-03-01,0.2750218016337658,0.0011940241926930721,131.65593777001197,58832.0
2023-04-01,0.28327207291038636,0.001224332153828653,132.74662803039726,44631.0
2023-05-01,0.2885133022097151,0.0011966193428850408,133.44421004335086,57385.0
2023-06-01,0.29515785182215415,0.0012036991161453183,134.33383903637318,53615.0
2023-07-01,0.3003669552680791,0.0012020778609363957,135.03542362711315,54446.0
2023-08-01,0.3073708848156407,0.001198605278392734,135.9845220500321,56385.0
2023-09-01,0.3134513637995555,0.0012117438680505088,136.8138920064873,49818.0
2023-10-01,0.3236361560038159,0.0012082251722946309,138.2144330705967,51510.0
2023-11-01,0.33013290236525344,0.0012047532994672026,139.11530037029513,53250.0
2023-12-01,0.33560602530460715,0.0012227709303870992,139.87878292305643,45503.0
2024-01-01,0.3478934816551561,0.001197440436816092,141.60814030589788,57381.0
2024-02-01,0.3614612591718697,0.0012005659206431709,143.54254113379736,55611.0
2024-03-01,0.3664363862269369,0.0012187193128813908,144.2584629380131,47070.0
2024-04-01,0.37122199145835755,0.0012177453673500344,144.95048153611964,47513.0
2024-05-01,0.37269743716808246,0.0012075674182380127,145.1645059541028,52007.0
2024-06-01,0.3732555201577615,0.0012220997499666384,145.24554240601034,45853.0
2024-07-01,0.37318673982718753,0.0012042891516108208,145.23555271314038,53738.0
2024-08-01,0.37549587693375813,0.0012114401399718035,145.57130902158798,50211.0
2024-09-01,0.38016427696265875,0.0012207047652448536,146.25248288374792,46462.0
2024-10-01,0.38300970707593973,0.0012133402600360405,146.66922672925162,49444.0
2024-11-01,0.38776466103883345,0.0012220228204888328,147.3682928465924,46011.0
2024-12-01,0.38517081017087546,0.0012368828260130122,146.98653679545492,40935.0
2025-01-01,0.3962761837537939,0.0012073119697278533,148.62797471915488,52507.0
2025-02-01,0.4069476265712514,0.0012152208130194275,150.222542690527,48888.0
2025-03-01,0.41070624250633514,0.0012295457332515416,150.7882339754623,43338.0
2025-04-01,0.414459171344225,0.001244937203540991,151.35519470335095,38608.0
2025-05-01,0.41569295291433245,0.001229488410568846,151.54204919822925,43320.0
2025-06-01,0.4170973065629467,0.001246554420267684,151.7550173342272,38148.0
2025-07-01,0.4194818393010427,0.0012326711385185903,152.11731392360204,42211.0
2025-08-01,0.42272886919830105,0.0012488737969778545,152.61204616031267,37493.0
2025-09-01,0.4293558465788885,0.0012526895729083453,153.62676127168115,36568.0
