month_date,mean_mkt,lo80_mkt,hi80_mkt,lo95_mkt,hi95_mkt,mean_mining,lo80_mining,hi80_mining,lo95_mining,hi95_mining
2023 Jan,0.8528845044763673,0.8495033070750573,0.8562657018776774,0.8477134092903753,0.8580555996623593,-0.22319612771091887,-0.23187956355885,-0.21451269186298774,-0.23647629682902738,-0.20991595859281037
2023 Feb,0.8569448160289813,0.8496652590098757,0.864224373048087,0.845811694300251,0.8680779377577116,-0.22095313593403113,-0.2364082553307336,-0.20549801653732866,-0.24458970133546368,-0.19731657053259857
2023 Mar,0.8606488217101034,0.8488968531944945,0.8724007902257123,0.8426757368516304,0.8786219065685763,-0.21850545721021464,-0.2411621028993628,-0.19584881152106648,-0.2531558066421896,-0.18385510777823963
2023 Apr,0.8627230996801081,0.8461078285242684,0.8793383708359478,0.8373122352760884,0.8881339640841277,-0.21587206587557486,-0.24612370264833136,-0.18562042910281837,-0.26213795180798666,-0.16960617994316307
2023 May,0.8624406446900554,0.8406942057886093,0.8841870835915016,0.8291823364137726,0.8956989529663383,-0.21307086446371112,-0.2512176683591588,-0.1749240605682634,-0.27141136653209064,-0.15473036239533164
2023 Jun,0.8623234113732402,0.835265100375756,0.8893817223707244,0.8209412957694748,0.9037055269770056,-0.2101187319053314,-0.2563734881670289,-0.16386397564363392,-0.2808592770570048,-0.13937818675365798
2023 Jul,0.8638695167988628,0.8313827749747185,0.8963562586230072,0.8141853326721664,0.9135537009255592,-0.2070315699241858,-0.26153263575397734,-0.15253050409439428,-0.2903837572394456,-0.12367938260892605
2023 Aug,0.8676334270060647,0.8296500716900487,0.9056167823220808,0.8095428979685201,0.9257239560436094,-0.2038243476833397,-0.26664786238194355,-0.14100083298473587,-0.2999046221740199,-0.10774407319265951
2023 Sep,0.8725367093777741,0.829025610230409,0.9160478085251391,0.8059922256836304,0.9390811930719177,-0.20051114473478923,-0.2716813632626076,-0.12934092620697085,-0.30935660116173525,-0.09166568830784322
2023 Oct,0.8762830019405748,0.8272416718697627,0.925324332011387,0.8012807599107065,0.9512852439704432,-0.19710519232438925,-0.276603048801806,-0.11760733584697255,-0.3186866719409801,-0.07552371270779842
2023 Nov,0.8787175164132355,0.8241657119555831,0.9332693208708879,0.7952877310629798,0.9621473017634912,-0.19361891310302068,-0.2813891203042049,-0.10584870590183648,-0.3278518613939744,-0.05938596481206704
2023 Dec,0.8805745911167078,0.8205493526917523,0.9405998295416632,0.7887739108792741,0.9723752713541415,-0.19006395929387015,-0.2860209329189565,-0.09410698566878377,-0.33681748636767705,-0.04331043222006328
2024 Jan,0.8840097858847521,0.8183619730657312,0.949657598703773,0.7836101201604705,0.9844094516090337,-0.18645124936463725,-0.29048409082281124,-0.08241840790646326,-0.3455557504626777,-0.027346748266596832
2024 Feb,0.8882539566718906,0.8168929514691425,0.9596149618746386,0.7791167172050375,0.9973911961387436,-0.18279100325242006,-0.29476772272315144,-0.0708142837816887,-0.35404461736377546,-0.011537389141064669
2024 Mar,0.891425336194823,0.8143049176616404,0.9685457547280056,0.7734798341474981,1.009370838242148,-0.1790927761879652,-0.2988638963237664,-0.05932165605216398,-0.3622668974371821,0.004081345061251657
