region,alpha,r2,durbin_watson,market,mining,lifestyle,region_level
australian_capital_territory,1.037989468940262,0.9967056667355011,0.07163836400218143,1.0294245590450661,-0.05011131790659161,0.004230668402780947,major_city
greater_adelaide,1.042931462083531,0.9970531584677327,0.0241111030849036,0.9849949617671733,0.11003415476196571,0.10296803730662184,major_city
greater_brisbane,0.9829918668532407,0.9977715170140862,0.022618195215881546,0.991883254598602,0.14941581047827515,0.3327714960027933,major_city
greater_darwin,1.3216342178139266,0.9933819500143567,0.049414094819975565,1.0620537965306636,0.3297542832721209,-1.019953032015468,major_city
greater_hobart,0.9691415308004322,0.9844858602961064,0.015135415825829461,1.0528641057168224,0.03698365686747886,0.5083581084349039,major_city
greater_melbourne,1.3859569330806034,0.9986935937625079,0.013628550246123203,1.2220964248729043,-0.21856513046186085,-0.6564683847498406,major_city
greater_perth,1.0203610372594656,0.9963006937470743,0.010310338700772526,0.9238266854492145,0.5237529426035925,-0.1758201660852289,major_city
greater_sydney,1.1709798507955242,0.9964199087246883,0.01031033870077281,0.9802340825525463,-0.5053259499083615,-0.18655546750415344,major_city
rest_of_nsw,0.98458763295089,0.9992285403925906,0.03737996931898902,0.9347972803280303,-0.1084878361965116,0.39682381930983085,major_city
rest_of_nt,0.8783601425294384,0.980644744861883,0.020458855790990136,0.7765733361898262,0.17112287756054703,-0.8514081372697704,major_city
rest_of_qld,0.8349678870739956,0.9989800459589365,0.04853438579483664,0.8429737377881006,0.30838676093734957,0.49138071621871965,major_city
rest_of_sa,0.8761507430914321,0.9944494305761526,0.0234972681308943,0.8066946728249447,0.3132004103676211,0.3014993997693319,major_city
rest_of_tas,0.9059889955275273,0.987193789808723,0.013646270198057388,0.976718870240298,0.2171148243064102,0.6790173105697559,major_city
rest_of_vic,1.1236998680273937,0.9957902753148898,0.01471390567354616,1.0445647813160428,-0.027246346203475456,0.04618450186720265,major_city
rest_of_wa,0.9238400082065219,0.9909748624013587,0.023436846812838332,0.762429457913951,0.741052124229604,-0.013618577448237626,major_city
ADELAIDE - CENTRAL AND HILLS,1.0999699824644638,0.997640612533309,0.08554169732568777,1.0142237958297282,0.03819648666189326,-0.014458979817354315,sa4_name
ADELAIDE - NORTH,0.9817150995541962,0.9952365325451659,0.04704677693532991,0.9459548257178193,0.18000868604488926,0.21356140422474712,sa4_name
ADELAIDE - SOUTH,1.0522224718966668,0.9964617356158955,0.05898684494495884,0.9931251333585444,0.09820061402027522,0.09071599700510162,sa4_name
ADELAIDE - WEST,1.0884096430490942,0.9976716485906866,0.07882545488387728,1.0192236271500212,0.06947594663340952,0.03112803477572428,sa4_name
AUSTRALIAN CAPITAL TERRITORY,1.037989468940262,0.9967056667355011,0.07163836400218143,1.0294245590450661,-0.05011131790659161,0.004230668402780947,sa4_name
BALLARAT,1.0929941501275342,0.991828561893096,0.027248148800251,1.0565300683819483,-0.12254363841442958,-0.08548439655280045,sa4_name
BAROSSA - YORKE - MID NORTH,0.8746155385946967,0.9920250725775176,0.02946938189595281,0.8285925725661701,0.4127897101986068,0.21752993330673404,sa4_name
BENDIGO,1.1499012255787955,0.9922608168446901,0.0265647889437424,1.1051336248394528,-0.05857495979884366,-0.1880641133900875,sa4_name
BRISBANE - EAST,1.0082745001703277,0.9970702902720123,0.0832262101988412,0.940660270598912,0.1297095822526574,0.3807841462707781,sa4_name
BRISBANE - NORTH,1.0460230322152264,0.9974218090085812,0.08376827312121433,1.0444460752648401,0.06253352497668083,0.21200518388839634,sa4_name
BRISBANE - SOUTH,1.0528304201685514,0.9969185923719758,0.06570133093411948,1.0636639369042142,0.017975834676264645,0.12153566337895035,sa4_name
BRISBANE - WEST,0.9703825199223137,0.9975253593911069,0.09765112553086445,0.962404620927271,0.052287764112481275,0.2088368120834486,sa4_name
BRISBANE INNER CITY,1.2524458602045865,0.9968805203010048,0.07102850855144835,1.1140295406164658,-0.0348267366307287,-0.008132458274132845,sa4_name
BUNBURY,0.9765537582483106,0.9862706411324879,0.027969153838928677,0.8156496601411363,0.5969244359254386,0.1677903070155852,sa4_name
CAIRNS,0.6263999018761708,0.9840092431092342,0.024145124025425468,0.7170178991163894,0.35084420571312,0.34622550692776505,sa4_name
CAPITAL REGION,1.076097277426583,0.9969308064136585,0.060419337250782634,0.9909401458255104,-0.05556912445509561,0.47961969008020205,sa4_name
CENTRAL COAST,1.0958718107944452,0.9925875944433795,0.027279410619620807,0.9264987787412556,-0.47400167634179446,0.23559958429510608,sa4_name
CENTRAL QUEENSLAND,0.8090212365034999,0.9921301219086889,0.07022675904373644,0.8074587054370027,0.8212445453634003,0.2546099026391372,sa4_name
CENTRAL WEST,0.9011965013221137,0.9960664686596382,0.07959695312109304,0.8948656509770578,-0.07058608546134577,0.4327565252276983,sa4_name
COFFS HARBOUR - GRAFTON,0.9709494440184928,0.997962231080588,0.09907385262533698,0.9395905661316858,-0.005255425188363669,0.5712909257232969,sa4_name
DARLING DOWNS - MARANOA,0.7667234457532143,0.990033235681096,0.038964789285051704,0.8134121508942047,0.5350836984325839,0.14648449636366254,sa4_name
DARWIN,1.3216342178139266,0.9933819500143567,0.049414094819975565,1.0620537965306636,0.3297542832721209,-1.019953032015468,sa4_name
FAR WEST AND ORANA,0.7339587813816746,0.9886550463885835,0.02347245174385033,0.7842780941253206,0.1230115610262425,0.2605412172584548,sa4_name
GEELONG,1.370087057884767,0.9950196215424685,0.03907745938662122,1.2136633482931145,-0.14215617413252685,-0.22518206901890195,sa4_name
