sa4_name,mode,loading_value,checksum_weight,dataset_weight
ADELAIDE - CENTRAL AND HILLS,0,0.9976861022986963,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,1,0.014228433257158219,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,2,-0.000727990993413093,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,3,0.0026993285387820944,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,4,-0.005447998386879957,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,5,-0.015088361338889637,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,6,-0.01875112716763006,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,7,-0.025250567952681813,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,8,0.0014542357843796213,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,9,0.018657146793923912,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,10,-0.002042617287269795,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,11,0.00923228861406103,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,12,0.0034267334319128917,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,13,-0.0002982450598198684,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,14,-0.0038652433122731557,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,15,-0.0028692606533136183,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,16,-0.003258966258905767,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,17,0.0033525339427342388,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,18,-7.355155262804122e-06,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,19,0.006660768920553837,1.0000000000000002,0.01063145619079741
ADELAIDE - CENTRAL AND HILLS,20,0.004803132813550207,1.0000000000000002,0.01063145619079741
ADELAIDE - NORTH,0,0.9927435391452719,1.0,0.01800802039684672
ADELAIDE - NORTH,1,0.07252753422483235,1.0,0.01800802039684672
ADELAIDE - NORTH,2,0.036776289432959006,1.0,0.01800802039684672
ADELAIDE - NORTH,3,0.00878191540018253,1.0,0.01800802039684672
ADELAIDE - NORTH,4,-0.01623005079163525,1.0,0.01800802039684672
ADELAIDE - NORTH,5,0.01509302487996508,1.0,0.01800802039684672
ADELAIDE - NORTH,6,-0.017625666044998215,1.0,0.01800802039684672
ADELAIDE - NORTH,7,-0.04813581246775921,1.0,0.01800802039684672
ADELAIDE - NORTH,8,0.009015473989127413,1.0,0.01800802039684672
ADELAIDE - NORTH,9,0.027838577437403287,1.0,0.01800802039684672
ADELAIDE - NORTH,10,-0.01212709098845284,1.0,0.01800802039684672
ADELAIDE - NORTH,11,0.0065134010555136694,1.0,0.01800802039684672
ADELAIDE - NORTH,12,-0.002502159438117535,1.0,0.01800802039684672
ADELAIDE - NORTH,13,0.0068719780961072965,1.0,0.01800802039684672
ADELAIDE - NORTH,14,0.00226623229236935,1.0,0.01800802039684672
ADELAIDE - NORTH,15,0.002208557200111107,1.0,0.01800802039684672
ADELAIDE - NORTH,16,0.001238520693623269,1.0,0.01800802039684672
ADELAIDE - NORTH,17,0.0017235887464783146,1.0,0.01800802039684672
ADELAIDE - NORTH,18,0.003004576008888536,1.0,0.01800802039684672
ADELAIDE - NORTH,19,0.0009094603388754418,1.0,0.01800802039684672
ADELAIDE - NORTH,20,0.001970448394904964,1.0,0.01800802039684672
ADELAIDE - SOUTH,0,0.9963407269834054,1.0,0.015717090934036095
ADELAIDE - SOUTH,1,0.0373864719254376,1.0,0.015717090934036095
ADELAIDE - SOUTH,2,0.015090424641964084,1.0,0.015717090934036095
ADELAIDE - SOUTH,3,0.01667288065469425,1.0,0.015717090934036095
ADELAIDE - SOUTH,4,-0.00652044919299841,1.0,0.015717090934036095
ADELAIDE - SOUTH,5,0.0042847137985905885,1.0,0.015717090934036095
ADELAIDE - SOUTH,6,-0.02766646374175949,1.0,0.015717090934036095
ADELAIDE - SOUTH,7,-0.040416872471016135,1.0,0.015717090934036095
ADELAIDE - SOUTH,8,0.0025498090475107975,1.0,0.015717090934036095
ADELAIDE - SOUTH,9,0.01938151079790862,1.0,0.015717090934036095
ADELAIDE - SOUTH,10,-0.004136145487610821,1.0,0.015717090934036095
ADELAIDE - SOUTH,11,0.006844582405092067,1.0,0.015717090934036095
ADELAIDE - SOUTH,12,-0.00035898613321209364,1.0,0.015717090934036095
ADELAIDE - SOUTH,13,0.001128616503750852,1.0,0.015717090934036095
ADELAIDE - SOUTH,14,0.00014922255057967713,1.0,0.015717090934036095
ADELAIDE - SOUTH,15,-0.0022673716753807685,1.0,0.015717090934036095
ADELAIDE - SOUTH,16,-0.0008625387588088202,1.0,0.015717090934036095
ADELAIDE - SOUTH,17,0.0041414521482155036,1.0,0.015717090934036095
ADELAIDE - SOUTH,18,0.0011378749715844512,1.0,0.015717090934036095
ADELAIDE - SOUTH,19,0.0033350156853830418,1.0,0.015717090934036095
ADELAIDE - SOUTH,20,0.005978548306433282,1.0,0.015717090934036095
ADELAIDE - WEST,0,0.9979938438934803,1.0,0.007781728587026736
ADELAIDE - WEST,1,0.023618199265381085,1.0,0.007781728587026736
