major_city,mode,loading_value,checksum_weight,dataset_weight
AUSTRALIAN CAPITAL TERRITORY,0,0.9957736448098066,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,1,-0.020426879560268507,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,2,0.008002453059636148,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,3,0.012124994162856312,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,4,0.044412109154587015,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,5,0.010982346045335144,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,6,0.0020596249635178527,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,7,-0.01157738544605506,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,8,-0.02076716752602394,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,9,-0.0015792076077439437,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,10,0.012014896390699482,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,11,-0.0032004183286311882,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,12,0.007958464831209258,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,13,-0.006984880338554331,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,14,0.004474372020624575,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,15,-0.0030076062846580414,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,16,0.004008730907675845,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,17,-0.002939162856308979,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,18,0.005412211304601615,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,19,0.0024570133281447614,1.0000000000000002,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,20,-0.006230468917209844,1.0000000000000002,0.014690245756849922
GREATER ADELAIDE,0,0.9956193603694973,1.0,0.05213829610870696
GREATER ADELAIDE,1,0.04274676086837346,1.0,0.05213829610870696
GREATER ADELAIDE,2,0.017846299819088862,1.0,0.05213829610870696
GREATER ADELAIDE,3,0.011776582835370865,1.0,0.05213829610870696
GREATER ADELAIDE,4,-0.009045370593717444,1.0,0.05213829610870696
GREATER ADELAIDE,5,0.0033958156076969483,1.0,0.05213829610870696
GREATER ADELAIDE,6,-0.01970006811578313,1.0,0.05213829610870696
GREATER ADELAIDE,7,-0.03884392207115838,1.0,0.05213829610870696
GREATER ADELAIDE,8,0.003987139137108713,1.0,0.05213829610870696
GREATER ADELAIDE,9,0.02203756510059755,1.0,0.05213829610870696
GREATER ADELAIDE,10,-0.00654834671892988,1.0,0.05213829610870696
GREATER ADELAIDE,11,0.006703645359355299,1.0,0.05213829610870696
GREATER ADELAIDE,12,-0.0003980697330190232,1.0,0.05213829610870696
GREATER ADELAIDE,13,0.0027601319828956753,1.0,0.05213829610870696
GREATER ADELAIDE,14,5.800230250534509e-05,1.0,0.05213829610870696
GREATER ADELAIDE,15,-0.0005938893152787679,1.0,0.05213829610870696
GREATER ADELAIDE,16,-0.0007771296803903292,1.0,0.05213829610870696
GREATER ADELAIDE,17,0.0031245855490378803,1.0,0.05213829610870696
GREATER ADELAIDE,18,0.0018315717340058116,1.0,0.05213829610870696
GREATER ADELAIDE,19,0.0036409126418507753,1.0,0.05213829610870696
GREATER ADELAIDE,20,0.003752355682254262,1.0,0.05213829610870696
GREATER BRISBANE,0,0.9911384439936293,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,1,0.055684276062996106,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,2,0.06249817906618132,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,3,-0.008971750657262747,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,4,-0.015216006559987871,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,5,0.009527512007684924,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,6,0.02214436150715405,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,7,-0.031166695232317094,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,8,0.00410031719247687,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,9,-0.009325285150917637,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,10,-0.0039392368800242675,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,11,0.00528594727994337,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,12,0.005540377989281561,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,13,-0.0009500995373881374,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,14,0.0019587354011830747,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,15,0.0010046711790282624,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,16,0.00013094892310025773,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,17,-0.0026936734668082307,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,18,-0.001395591157288033,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,19,0.004123877218261791,0.9999873603316647,0.11306873074218683
GREATER BRISBANE,20,-0.001081929508569695,0.9999873603316647,0.11306873074218683
GREATER DARWIN,0,0.9464693567401333,0.9999999999999999,0.002788274099777624
