region,model_type,market,mining,lifestyle
australian_capital_territory,OLS,1.0294245590450661,-0.05011131790659161,0.004230668402780947
greater_adelaide,OLS,0.9849949617671733,0.11003415476196571,0.10296803730662184
greater_brisbane,OLS,0.991883254598602,0.14941581047827515,0.3327714960027933
greater_darwin,OLS,1.0620537965306636,0.3297542832721209,-1.019953032015468
greater_hobart,OLS,1.0528641057168224,0.03698365686747886,0.5083581084349039
greater_melbourne,OLS,1.2220964248729043,-0.21856513046186085,-0.6564683847498406
greater_perth,OLS,0.9238266854492145,0.5237529426035925,-0.1758201660852289
greater_sydney,OLS,0.9802340825525463,-0.5053259499083615,-0.18655546750415344
rest_of_nsw,OLS,0.9347972803280303,-0.1084878361965116,0.39682381930983085
rest_of_nt,OLS,0.7765733361898262,0.17112287756054703,-0.8514081372697704
rest_of_qld,OLS,0.8429737377881006,0.30838676093734957,0.49138071621871965
rest_of_sa,OLS,0.8066946728249447,0.3132004103676211,0.3014993997693319
rest_of_tas,OLS,0.976718870240298,0.2171148243064102,0.6790173105697559
rest_of_vic,OLS,1.0445647813160428,-0.027246346203475456,0.04618450186720265
rest_of_wa,OLS,0.762429457913951,0.741052124229604,-0.013618577448237626
ADELAIDE - CENTRAL AND HILLS,OLS,1.0142237958297282,0.03819648666189326,-0.014458979817354315
ADELAIDE - NORTH,OLS,0.9459548257178193,0.18000868604488926,0.21356140422474712
ADELAIDE - SOUTH,OLS,0.9931251333585444,0.09820061402027522,0.09071599700510162
ADELAIDE - WEST,OLS,1.0192236271500212,0.06947594663340952,0.03112803477572428
AUSTRALIAN CAPITAL TERRITORY,OLS,1.0294245590450661,-0.05011131790659161,0.004230668402780947
BALLARAT,OLS,1.0565300683819483,-0.12254363841442958,-0.08548439655280045
BAROSSA - YORKE - MID NORTH,OLS,0.8285925725661701,0.4127897101986068,0.21752993330673404
BENDIGO,OLS,1.1051336248394528,-0.05857495979884366,-0.1880641133900875
BRISBANE - EAST,OLS,0.940660270598912,0.1297095822526574,0.3807841462707781
BRISBANE - NORTH,OLS,1.0444460752648401,0.06253352497668083,0.21200518388839634
BRISBANE - SOUTH,OLS,1.0636639369042142,0.017975834676264645,0.12153566337895035
BRISBANE - WEST,OLS,0.962404620927271,0.052287764112481275,0.2088368120834486
BRISBANE INNER CITY,OLS,1.1140295406164658,-0.0348267366307287,-0.008132458274132845
BUNBURY,OLS,0.8156496601411363,0.5969244359254386,0.1677903070155852
CAIRNS,OLS,0.7170178991163894,0.35084420571312,0.34622550692776505
CAPITAL REGION,OLS,0.9909401458255104,-0.05556912445509561,0.47961969008020205
CENTRAL COAST,OLS,0.9264987787412556,-0.47400167634179446,0.23559958429510608
CENTRAL QUEENSLAND,OLS,0.8074587054370027,0.8212445453634003,0.2546099026391372
CENTRAL WEST,OLS,0.8948656509770578,-0.07058608546134577,0.4327565252276983
COFFS HARBOUR - GRAFTON,OLS,0.9395905661316858,-0.005255425188363669,0.5712909257232969
DARLING DOWNS - MARANOA,OLS,0.8134121508942047,0.5350836984325839,0.14648449636366254
DARWIN,OLS,1.0620537965306636,0.3297542832721209,-1.019953032015468
FAR WEST AND ORANA,OLS,0.7842780941253206,0.1230115610262425,0.2605412172584548
GEELONG,OLS,1.2136633482931145,-0.14215617413252685,-0.22518206901890195
GOLD COAST,OLS,0.8883143845254542,0.023355346176852917,0.5691207531590492
HOBART,OLS,1.0528641057168224,0.03698365686747886,0.5083581084349039
HUME,OLS,0.9715383689316879,-0.007901124525477345,0.2452627171439418
HUNTER VALLEY EXC NEWCASTLE,OLS,0.9562112157714538,-0.037744196013336145,0.4055735735426536
ILLAWARRA,OLS,0.9955848521795004,-0.4082018826235227,0.1527199024479231
IPSWICH,OLS,0.9699613412543202,0.33885324608221506,0.521710831002645
LATROBE - GIPPSLAND,OLS,1.0716779759473738,0.04472651515783436,0.14777595386298725
LAUNCESTON AND NORTH EAST,OLS,0.9783408620799819,0.18778587715238768,0.7101453681724055
LOGAN - BEAUDESERT,OLS,0.9677577709246553,0.27736014737612597,0.4392649323435936
MACKAY - ISAAC - WHITSUNDAY,OLS,0.7352810927990195,0.8737429052157816,0.3939598350823937
