month_date,ADELAIDE - CENTRAL AND HILLS,ADELAIDE - NORTH,ADELAIDE - SOUTH,ADELAIDE - WEST,AUSTRALIAN CAPITAL TERRITORY,BALLARAT,BAROSSA - YORKE - MID NORTH,BENDIGO,BRISBANE - EAST,BRISBANE - NORTH,BRISBANE - SOUTH,BRISBANE - WEST,BRISBANE INNER CITY,BUNBURY,CAIRNS,CAPITAL REGION,CENTRAL COAST,CENTRAL QUEENSLAND,CENTRAL WEST,COFFS HARBOUR - GRAFTON,DARLING DOWNS - MARANOA,DARWIN,FAR WEST AND ORANA,GEELONG,GOLD COAST,HOBART,HUME,HUNTER VALLEY EXC NEWCASTLE,ILLAWARRA,IPSWICH,LATROBE - GIPPSLAND,LAUNCESTON AND NORTH EAST,LOGAN - BEAUDESERT,MACKAY - ISAAC - WHITSUNDAY,MANDURAH,MELBOURNE - INNER,MELBOURNE - INNER EAST,MELBOURNE - INNER SOUTH,MELBOURNE - NORTH EAST,MELBOURNE - NORTH WEST,MELBOURNE - OUTER EAST,MELBOURNE - SOUTH EAST,MELBOURNE - WEST,MID NORTH COAST,MORETON BAY - NORTH,MORETON BAY - SOUTH,MORNINGTON PENINSULA,MURRAY,NEW ENGLAND AND NORTH WEST,NEWCASTLE AND LAKE MACQUARIE,NORTH WEST,NORTHERN TERRITORY - OUTBACK,PERTH - INNER,PERTH - NORTH EAST,PERTH - NORTH WEST,PERTH - SOUTH EAST,PERTH - SOUTH WEST,QUEENSLAND - OUTBACK,RICHMOND - TWEED,RIVERINA,SHEPPARTON,SOUTH AUSTRALIA - OUTBACK,SOUTH AUSTRALIA - SOUTH EAST,SOUTH EAST,SOUTHERN HIGHLANDS AND SHOALHAVEN,SUNSHINE COAST,SYDNEY - BAULKHAM HILLS AND HAWKESBURY,SYDNEY - BLACKTOWN,SYDNEY - CITY AND INNER SOUTH,SYDNEY - EASTERN SUBURBS,SYDNEY - INNER SOUTH WEST,SYDNEY - INNER WEST,SYDNEY - NORTH SYDNEY AND HORNSBY,SYDNEY - NORTHERN BEACHES,SYDNEY - OUTER SOUTH WEST,SYDNEY - OUTER WEST AND BLUE MOUNTAINS,SYDNEY - PARRAMATTA,SYDNEY - RYDE,SYDNEY - SOUTH WEST,SYDNEY - SUTHERLAND,TOOWOOMBA,TOWNSVILLE,WARRNAMBOOL AND SOUTH WEST,WEST AND NORTH WEST,WESTERN AUSTRALIA - OUTBACK (NORTH),WESTERN AUSTRALIA - OUTBACK (SOUTH),WESTERN AUSTRALIA - WHEAT BELT,WIDE BAY
1995-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-03-01,-0.005605994419802363,-0.004292652556580068,-0.007179043799827145,-0.008345893341076271,-0.009821992867847906,0.0037873967551622645,-0.0029991709752184015,0.00106101980007689,0.0006059068876785867,-0.008823382298389859,-0.002394245190572186,-0.007807696091583938,-0.0030904181737976266,0.013112482301688155,0.01140094552066595,-0.02341077344701581,-0.010038202795467743,-0.01845991718229434,-0.009643067317754106,0.001537512643678074,0.00855743594504288,0.004473049738219936,-0.006406976087678373,0.008717061061703335,-0.018903865187967717,0.015711943412629603,0.0061015848253856975,0.006827344132195656,0.00579884750947679,-0.0027488022552255575,-0.005268052344601815,0.006170954378068583,-0.025106727412336993,0.005386409134418346,0.01124641889325062,-0.029195810334544214,-0.0008590022715357915,0.008120162403802977,0.01748274982040887,0.002160923685434968,0.008787350456490817,0.006410268526511498,-0.03552948130932476,-0.008501951156646648,-0.019664010164283208,-0.0021411504677568693,0.008093439317085505,0.008319562357363197,-0.006813347800355141,7.084686301694898e-05,-0.012067277945325583,0.005793286219081373,-0.0262122345054685,-0.00469692340951211,-0.005505191397052744,-0.011774048113363023,-0.016717850885367813,-0.002383249860879344,-0.008700056125277356,-0.003065344092569977,0.0005656641123882311,-0.012199814898419925,-0.010881905871388375,-0.002487074297902625,0.008643726037458666,-0.000698770358613765,0.006648382610297543,-0.013142712470924911,0.009472870855148363,0.0001706356335922088,-0.012792848152033076,0.01327216111805507,-0.002639327313179285,0.008524274544734922,0.027259157296024905,-0.0172600626573427,0.013143673981699022,-0.00038106632653067685,-0.002514767154406128,-0.0022418095678299332,-0.012462794815049194,-0.006995449306681167,-0.00872909992561366,0.0026735598503740965,0.0037743563579277772,0.007659551718675939,0.012112394366197043,-0.011329117647058795
1995-04-01,-0.008913901845757355,0.001378967309304313,-0.009947995869753257,-0.010446773132016807,-0.020345373404310085,-0.0003843035070468792,-0.006110750579426005,0.013697809496347357,0.0031183848961761074,-0.005452043920171845,-0.0038136912682451563,0.009540997227439507,-0.01813967710630804,0.03352081775276805,0.022522926078746897,-0.02865667005007433,-0.019739380944504226,-0.0258699676344597,-0.003921309382630245,0.01119650344827583,0.0020959914593391415,0.016907445026178136,-0.010513106941215322,-0.0004595796277615527,-0.019422507527650956,0.014188275507784787,0.013271473143059875,-0.00016813773984880598,-0.00016777216200047906,-0.020590845709570926,-0.0025494106870233013,0.02125451104746323,-0.03322436652162786,-0.008029216463831479,0.031972431303026516,-0.0439676928916124,-0.015276279923117198,0.0024935762788591553,0.02114942115013796,-0.0009138138669149143,0.006733684130771911,0.00824662092780204,-0.031594767696952575,-0.004238807268509559,-0.027010181420636048,0.00975506320074282,0.008136300878386793,0.010525632970868504,-0.010615565200236543,-0.01864163661581153,-0.009965984045140486,0.011293833922261465,-0.004233859814183227,-0.0005741852995676533,-0.012289048437871819,0.006484121931125353,-0.02408966747437047,0.0006018196994990177,-0.003822161169622862,-0.0015745686155093086,-0.0010174661558109976,-0.02948677652370213,0.0022667679403540753,-0.004577159616068305,0.012581958868894683,-0.010262661829724351,0.010855232568849571,-0.021850152084451624,0.041507142233856875,0.003945080985436444,-0.02073065774048255,0.013917983183729055,-0.015103125245387039,0.014629874307205082,0.020493936323221718,-0.005928488391608533,0.01947356466110628,-0.010995998299319631,0.01583220017371567,-0.0031608724289347023,-0.02540055748761738,-0.01717956960201683,-0.012281125712868657,0.0076052917705736744,0.007225986394557737,0.0045302011721845,0.02072041492196408,-0.012716819192705509
1995-05-01,-0.00869050221777079,0.004036445096395669,-0.017772406589184886,-0.015384572202864821,-0.02082674350095648,0.0015327409046214102,-0.012081330005348612,0.010119556901191817,0.004369850397941466,-0.0014517849988869846,-0.01732725617618258,0.013465201681423955,-0.020820675782973197,0.032948044109638586,0.01880039792992516,-0.014381519150088007,-0.006369986353486179,-0.03152665778200836,0.00016374398325746942,0.011416808045977,0.002867499071667279,0.03822424083769649,-0.005128432414480244,-0.008061984963784852,-0.022065524550577087,0.0007732830158858617,0.01726669916681456,-0.015509600478338381,-0.02126304781538857,-0.01671800192519257,-0.008231157688113666,0.024668074877250312,-0.02563601842846175,-0.01342016135648838,0.03739372419906273,-0.03272676191508972,-0.01934594268740164,-0.007180278972385601,0.01976025747665333,-0.018455249883666536,-0.008893236352615741,0.01838953314553149,-0.016415822889290332,-0.009447819447129469,-0.018817431745656754,0.008797801899593005,0.01787817683203441,0.0017656812995032745,-0.019226920497139366,-0.01226745573957766,-0.013692844634692225,0.020293577738516033,-0.0028077360931434425,0.003962658431130306,-0.003043381127483369,0.001660172351293454,-0.02411480037278657,0.00044710072342790674,-0.008213422949002291,-0.009499146366219957,-0.005361507024265744,-0.058214311512415406,0.009430952469711262,-0.026029427657305315,0.011879375688578886,-0.003925770320825306,0.016638309846182198,-0.028612726188346205,0.05595591623036644,0.00729403838301379,-0.010145122477941637,0.0081080524940349,-0.01718754744143447,0.0013055621536024464,0.028627235224895298,0.0010381930069930378,0.03995025832051202,-0.024023074829931934,0.016808775973809365,-0.025620324705338815,-0.03336418063020341,-0.010606518098325357,-0.00676269278452768,-0.001739706982543665,0.03294741496598619,0.0038657611278315462,0.009615045045045179,-0.007867564216612943
1995-06-01,0.008932184146516198,-0.0030644266554901156,-0.010552730765536533,-0.009978043941153425,-0.022607503230141268,0.009882456571615905,-0.021049932251738124,0.0032540397923874753,0.0007713272694631623,-0.007596425550856822,-0.01259107638351642,-0.0015734415526340584,-0.015977056021172942,0.021456678163006004,0.016271730890272118,0.005426727568006551,0.0001647328591516395,-0.02423877010947173,-0.00719074572724121,0.009909935632183897,0.005808002227998599,0.05658244502617826,-0.0015954118233144632,-0.013142394333913954,-0.021709906686939173,-0.004703053821228043,0.009854313065059461,-0.01749385932488967,-0.03613860810002023,-0.02204265264026395,-0.006643428135223561,0.01910726063829782,-0.02658517942155103,-0.008789744290988555,0.02925884006584778,-0.03198002223065721,-0.010865380627875787,-0.0025759687641462303,0.011723494650081268,-0.006672946486738107,-0.0034459597681557597,0.016099076968512982,-0.00018154369121847758,-0.008747581674076854,-0.01922410235196792,0.013436256516460743,0.013059662666501826,-0.01843517653376303,-0.028334336160978246,-0.009462485518479613,-0.02241130946590153,0.0314066607773853,0.008234668940374057,-0.010251230389129007,-0.01602424777122302,-0.004763421980556792,-0.017769226840633534,0.007581252086811263,0.005726355321507781,-0.009427992285830133,-0.00179770242656474,-0.03855437923250571,0.013231303821062412,-0.033193462495556436,0.02139486595666551,-0.013289517061557232,-0.0012525052961223082,-0.03430355460129997,0.06755465532286209,0.022721242684088816,-0.013670968100203629,0.01866592887171925,-0.018626756968983194,0.00238807205067304,0.01738017978556483,0.0019169829370631053,0.04340575512187239,-0.0399133214285714,0.020599588427874682,-0.0176250381326557,-0.02239417641479613,-0.027718233387358238,0.0068776543515991495,0.009673542394014856,0.05205897697540551,-0.0013981308411213922,-0.014936307575180718,-0.00894554542421866
1995-07-01,0.008196120331950274,-0.012429567057837376,-0.017060067236576715,-0.009740688153310195,-0.0379104491188178,0.01791237135365442,-0.02860093064717395,0.00010554017685504569,0.005957311950212429,-0.013090532680465894,-0.02175230749393997,-0.006579437438511637,-0.0026627260696954203,0.0071662134688689205,0.013255168892929658,0.01608388009202888,-0.007528615085600876,-0.019134383626844054,-0.016010339727939082,0.012649742528735741,0.0053565076123284205,0.062067740837696395,0.005996974427100787,-0.01173891858439502,-0.023361861789345184,-0.003115714850233209,0.01033750842049308,-0.016258550307115094,-0.020750299261821037,-0.029635666024935947,0.002767692039258418,0.0162855881751226,-0.036954320450473754,-0.014825789689593805,0.02903462200835749,-0.02594152252887283,-0.009612246490768417,-0.012821276029877371,0.010682175885667,0.02063081433224756,0.005834272455203182,0.01755569880503427,-0.019484901713764824,-0.006250992331980343,-0.026337665169601787,0.008682773691351842,0.005270939420182419,-0.03683376694858376,-0.035828603274807413,-0.012835122379049158,-0.03590834808833543,0.04262328621908118,0.014032493237680965,0.0059496528721433295,-0.008662013967884019,-0.006306368759268599,-0.01275426691519066,0.013017067334446186,0.0028187195121951447,-0.0008999634591959627,0.009062367816091932,-0.01965044695259599,0.016940860205032604,-0.04320276928546041,0.012514499449137184,-0.015455379964478988,-0.015316896011789538,-0.031806417367447715,0.08562524141942984,0.025513002586089684,-0.001359701363608301,0.024459628451312554,-0.008467733280984158,0.013179452692003268,0.017268338781380788,0.011317481398601448,0.030951611466515705,-0.06361499659863923,0.008672626444845788,-0.005882465911717261,-0.02354002213088846,-0.0057435656401946256,0.018066252169600894,-0.001753356608478862,0.060183532182103594,0.007448596546808295,0.013038732394366148,-0.002095539864338858
1995-08-01,0.0019818250107312974,0.0005808935456831366,-0.016128825280953052,-0.006100833333333111,-0.041879550364359974,0.009919589478859181,-0.025504772686753552,-0.005788605344098641,0.004460721081921859,-0.02804587358112609,-0.02532875341688612,-0.008608068151328307,0.0008835738861934228,0.0029794672354328533,0.00640231694524096,0.027275662471241136,-0.002681168637829856,-0.017718418848167383,-0.019287300313917344,0.02779263678160926,0.0019973115484590576,0.09144081413612581,0.017003291265360487,0.00399788026038328,-0.030329113973109223,0.003832535367106704,0.014347422442829716,-0.019625238354079144,-0.008924731661900775,-0.010031811514484845,0.003361113631406454,0.03147115589198035,-0.03321839006910676,-0.0005898454806508857,0.03628011523363306,0.0032759328742608673,-0.021338240433339095,-0.014076999773653176,0.023616513289727248,0.03879086133085119,0.004457090578474654,0.019373955654504282,-0.009916548361172062,-0.011333003415168519,-0.03615864023165116,0.003047893308576688,0.013790391356344855,-0.03486590146328372,-0.05118539948707823,-0.02140050460961096,-0.03651650355092906,0.05321118374558309,0.025650303422321663,0.013473428659666609,-0.0142701555514404,-0.0019504274180262016,-0.014680969617893669,0.02398395659432384,-0.002324548226164125,0.008181457572066675,0.009897757343550473,-0.00643271783295718,0.0046861239515376685,-0.04563300035549256,0.003671541681968593,-0.03323886634168449,-0.007292905038224218,-0.014967598258483816,0.08907503054101218,0.02117960391996765,0.010019657555377037,0.019404730144302107,-0.008732633163198833,0.02227184976247032,0.027658370815899502,0.013507460699300533,0.030635680621912686,-0.07030590646258483,0.0021527547270663305,0.012353076034203547,-0.008252471282537699,-0.0023146380334955197,0.024516306719563397,0.010591826683291727,0.062492260596546334,0.004772222398225945,0.0412650196675548,-0.0006357444679194746
1995-09-01,0.013995726856488755,0.006797918692372118,-0.019498256171357364,-0.0038588666279517625,-0.037811739107964426,0.001077749098655989,-0.020940527723301794,-0.0013229796232219204,0.011330940697743985,-0.03625070257437468,-0.022817973077518205,3.851444414637584e-05,0.0008951865902071532,0.016995801415865097,0.008142664521994525,0.01832668764379486,-0.0002050425936646061,-0.008147707758210165,-0.012350502267178487,0.023671665517241314,-0.003034576680281953,0.11376917801047126,0.026076994354035432,0.017723969927569527,-0.033925044271532534,0.0020082533786455192,0.023162879808544923,-0.016676785889003565,-0.005518402606903172,-0.0062607874954163645,0.004467481788440364,0.029230215834697204,-0.04767096749424127,0.013484680705592833,0.038691481575281794,-0.009757853386108684,-0.006271297105248097,0.006631857741059788,0.03221255434988102,0.0600309990693344,0.007339856801908962,0.022659043118724576,0.00419626056169764,-0.009671958889103771,-0.0371872006854983,-0.010699103049346625,0.023958364468638083,-0.028694826151161257,-0.0568155888735451,-0.011024935547034542,-0.030503687129098345,0.06114932862190814,0.01978138304127952,0.025101253242742483,-0.007644347239491034,-0.008886682155214931,-0.024046380242310872,0.034857896494156826,-0.005271896480044225,0.0002249502639060097,0.015310786717752323,0.0009294040632052969,0.00039870829450150413,-0.04917334518307859,0.012909628351083224,-0.021684700525261613,-0.019317472598323615,-0.004842272320629837,0.10049025741710294,0.026105072818837893,-0.007471446288640826,0.019936183388251427,-0.015866041094097727,0.03159008808392705,0.05553930047071132,0.012294608111888095,0.04219484492671499,-0.06498465646258511,-0.010643442239593792,0.010441021492951008,-0.015312427020761077,-0.018741037277147488,0.018931855938507214,0.009536836658354031,0.07666564364207207,-0.002603480120386359,0.06420598781880482,0.017748981985989287
1995-10-01,0.017699336814994915,0.007470384744342029,-0.02236852367688047,-0.02229455671699576,-0.03783676779161749,-0.005891334808259874,-0.008089310037439734,0.003217402921953161,0.0068306762013043976,-0.035126302396319975,-0.016029091237299564,-0.004513666934979121,0.013568052933392583,0.03581264204029755,0.0037684334568849343,0.0179553234537827,0.005586846414688651,-0.0068525673488814,-0.0028376302755496186,0.02127119655172416,-0.013547972521351648,0.1268246099476441,0.016780273995350425,0.03325234482442485,-0.020969953790656914,0.0002464522247689338,0.01584464545293429,0.008574375713431781,0.003619744629912769,-0.022481190869086953,0.004143093565976197,0.030669096767593995,-0.0575174630151013,0.020746558184055797,0.03686083576041532,-0.018470504798568932,-0.012205299668006209,-0.00759469047080108,0.018643523384626715,0.061277429502093694,-0.012409546160548901,0.02808056340587939,0.013996798801016563,-0.007656506862555701,-0.0286880989244771,-0.02824109119474394,0.028056956987917436,-0.028688240032219148,-0.06432452061550609,0.0026559431345353213,-0.025126986088141012,0.06802380742049485,0.017438671057273814,0.017853839407041328,-0.011959165895082058,0.0032445661558739847,-0.01006374538676591,0.04317648302726762,-0.014670925720620787,-0.01084077040194864,0.01001011494252857,0.0036568893905191135,0.0029868909599252147,-0.0452661926768575,0.02576475431509362,-0.025104958999357607,-0.003003071750944053,0.00019875350390674562,0.0836490706806281,0.037143864162243245,-0.009432067008082856,0.02635627428701315,-0.020699368538149687,0.04403013756927954,0.06339875915271964,0.022905786853146926,0.04302927524495903,-0.05291049319727881,-0.010976305204783543,0.007022240582389427,-0.023789785014227016,-0.010523150549252791,0.011327423754029065,0.01969841770573566,0.09349716902145488,0.008605846665610817,0.0782771907118387,0.01877924385633256
1995-11-01,0.006982360852768599,0.002906963956412323,-0.03383157189511088,-0.021235503290747415,-0.04911356659258925,-0.02505113241560153,0.0044004635407381976,0.012376230296039847,-0.003428587158159302,-0.039423904592328696,-0.020799730259425275,-0.003172162597263384,0.006894743714159768,0.0383670602650209,-0.0039069109727952744,0.027643645283529583,-0.001336360102555667,0.0023018181818180716,0.00869537077084026,0.030982036781609268,-0.019753860007426516,0.1345654554973823,0.021400008302889573,0.035467260933345734,-0.030865728169812257,-0.008915216944598181,0.019572211487325242,0.007960313638093464,0.0032614876637627743,-0.02225559222588913,0.014533386259541703,0.01867555032733248,-0.05899003685692372,0.03763764528921121,0.05708084842345196,-0.032675239928428024,-0.01849852757877546,-0.0010600164101401965,0.02970672237135652,0.08657426337831509,0.009545714285713824,0.04120894906629102,0.03283353700123737,0.0005546497841355524,-0.01827335007682296,-0.01806340141398266,0.03553462617015146,-0.02095678883071561,-0.0664997810218978,-0.02362949294280814,-0.011882996400428114,0.06669869257950534,0.014711227801952331,0.025374011735639357,-0.012554583212084358,-0.001126114351623131,-0.006869238024230895,0.04465166388425146,-0.002926846590909138,-0.007933722086885808,0.008897472541506968,0.00019869074492095962,0.0006767157502329813,-0.03709383576253111,0.01878798163789963,-0.027268758266258408,0.011504601639495182,-0.006156679191268166,0.07701522833042462,0.04158715257928414,0.015929223175171203,0.013709921599818431,-0.027326477555293716,0.030419285431512177,0.07458920894351462,0.002172186853146907,0.043925712203417566,-0.03516063095238087,-0.012716943275205228,0.003792901548416716,-0.03176784592686277,-0.021862192508554146,0.009383858170096682,-0.0028076209476309844,0.12558211145996867,0.03132201647394284,0.08007966374825548,0.011624070944067588
