month_date,AUSTRALIAN CAPITAL TERRITORY,GREATER ADELAIDE,GREATER BRISBANE,GREATER DARWIN,GREATER HOBART,GREATER MELBOURNE,GREATER PERTH,GREATER SYDNEY,REST OF NSW,REST OF NT,REST OF QLD,REST OF SA,REST OF TAS.,REST OF VIC.,REST OF WA
2015-08-01,1.4028616217892398,1.3871226279858533,1.331627396152967,1.901622434554974,1.2164514107326325,1.9284118235741505,1.437204076089087,1.6598259746453272,1.257740847570433,1.2408566784452297,1.0870445938340816,1.1243352581653554,1.1291790314910959,1.496145592630052,1.2043169676930494
2015-09-01,1.420422719003566,1.3973016391755566,1.3387525759328396,1.9087384895287962,1.225919812692642,1.9383951644717805,1.4337211560743488,1.6552320842648505,1.2643946500335668,1.2446035954063603,1.0853023755684001,1.1294276220761024,1.1360333398029985,1.500869681596122,1.1941811421092512
2015-10-01,1.4007594573362963,1.4034364694457326,1.3417817229914597,1.90479882460733,1.235310423614953,1.9415725070889445,1.4366315135503798,1.6448790056622302,1.2714412126999561,1.2437460777385159,1.0856287042288253,1.1342672631238548,1.138590404192343,1.5070945052669744,1.182287932768478
2015-11-01,1.4079233960411388,1.4046681508000927,1.3423707554148687,1.885598727748691,1.2379812945546511,1.938870300257103,1.4260755654157617,1.631961338772696,1.2757302827163923,1.2410881183745583,1.0851443246281376,1.1344388293629408,1.1467458964530057,1.5060060553032328,1.1749545949576357
2015-12-01,1.4105459770530775,1.4039949623144712,1.3395237584417925,1.8606128952879581,1.2379481387813167,1.9300683586303247,1.411875267205494,1.6271515285409832,1.2739092290552585,1.2428071731448764,1.0936676157288217,1.140195915166541,1.143938739385705,1.4965094151940765,1.1737392687883172
2016-01-01,1.4219363693214122,1.3967904670106677,1.3459217642739887,1.8516640680628274,1.2304759543191337,1.920213216686094,1.4113511145255995,1.6342459866070498,1.2825948538671665,1.2488261395759719,1.0949583741034326,1.1429620065754018,1.1470718671454216,1.480625320025953,1.1654150492526003
2016-02-01,1.4179560406222542,1.394024206429731,1.350390284752478,1.846898827225131,1.2462157274954557,1.906730254953994,1.4089962573984212,1.6432685884645122,1.290732150496562,1.254883948763251,1.0943348718878503,1.1447680489382344,1.1372391542529963,1.4607170719629021,1.1616150051663565
2016-03-01,1.412018198873327,1.4005259756203616,1.3507525585470765,1.8303181963350785,1.2434897004662926,1.9033228894372658,1.4028969365244863,1.6523091899458848,1.2937296665277684,1.251884823321555,1.0934980246143582,1.1361976905249542,1.136640187296812,1.4491867974504786,1.161915587586967
2016-04-01,1.4345871802160315,1.402840485708488,1.3520534341384352,1.8255777382198954,1.2438191820121711,1.907515942602283,1.4017667062033068,1.6593273526984396,1.2987530730722041,1.25118667844523,1.0932267791017285,1.126948721569473,1.13451624630016,1.4409074424640278,1.1597185103671557
2016-05-01,1.431627692904026,1.4032270298005565,1.3545288729038378,1.8181188612565446,1.262432151268474,1.9171912231012787,1.3974007392541608,1.6669995007417313,1.3053330914183854,1.2520126590106009,1.0893489924358353,1.1233933658510296,1.1461589247416175,1.438393585263921,1.1512708462492252
2016-06-01,1.4368341345805984,1.4041634135841836,1.3562312945120558,1.8180004450261782,1.2708888429621434,1.9234416766283902,1.3980148384694382,1.677528790298991,1.3130841248813576,1.2519584363957597,1.0950396632750006,1.118355084078905,1.1448223329613274,1.437044384279226,1.1313577581456222
2016-07-01,1.434391381983565,1.4074051387117346,1.3657997141392664,1.8233912591623036,1.2884765209831661,1.9326420806775626,1.3900674225664584,1.6922056041975724,1.318939296768294,1.2523879416961132,1.0919657379593437,1.1180177260967987,1.1458506812557618,1.4389036427044768,1.1271063053661223
2016-08-01,1.4479357026202906,1.4151101365375696,1.3765353851535282,1.8285050968586392,1.2816146313127321,1.9467129370137974,1.3911673560100657,1.7050963582562004,1.324766187003727,1.2515691607773851,1.0969292344455968,1.1186994561819554,1.1484929656945992,1.4433107453913971,1.1229886849900115
2016-09-01,1.4579755537753887,1.4241085459183673,1.3795484384675594,1.8240940968586388,1.283893234805975,1.9641412155783171,1.3850008210973574,1.7175695843693195,1.3311095025117485,1.2486043992932863,1.0972436094048026,1.1220162159103162,1.151573535348634,1.4489307884241058,1.1233481876420748
2016-10-01,1.4560886795183214,1.4238507703791743,1.3836352236252436,1.8208774005235604,1.297034927685134,1.97466708257897,1.3813967428916363,1.7306122221641838,1.3436942160913952,1.2498248056537102,1.0981281960590918,1.1211017257734184,1.1684179474986656,1.4590496546887521,1.1271393211407315
2016-11-01,1.4618402687477388,1.4268779557050093,1.3818998452597824,1.838116871727749,1.3026768892752707,1.9925929125848396,1.3804730571256103,1.7428151143937654,1.353123786142556,1.254029823321555,1.1045866289062785,1.1232427050770724,1.1796779130476975,1.470067501526659,1.1214072122339327
2016-12-01,1.4721167419504881,1.4266068002087198,1.3835228323555286,1.8446393403141361,1.3244826143997472,2.0056315229036974,1.3786702898221244,1.7443414895217402,1.3622868548163065,1.2602042579505301,1.1056216955913176,1.123741776436348,1.1828128958222135,1.4756642041334296,1.1133789023214162
2017-01-01,1.4734751930332313,1.4287477694515305,1.3945995358486123,1.84978527486911,1.3494043507468585,2.022593469408,1.3849866876239603,1.757282484225152,1.372874562353867,1.2680662279151944,1.1079144729379855,1.1351214519780104,1.1821736697559315,1.4809200403610547,1.1142889908383273
2017-02-01,1.4816436766757972,1.4379104812152133,1.3966395350174206,1.8494890471204188,1.3630116992017705,2.0413370282235057,1.3800884164438973,1.7713198858674075,1.3833303841123226,1.271394893992933,1.1119465296220818,1.143087032984801,1.186153307778155,1.4898000883554061,1.1122407350003445
2017-03-01,1.4885691767016382,1.4395983489390074,1.4028599334353853,1.8449554869109948,1.372245650043468,2.0576697735671234,1.375854452144464,1.7838009695785715,1.3920070009491399,1.2748755300353358,1.1107785499720784,1.1454597827961628,1.194275525741181,1.4997559884164724,1.110724324929393
2017-04-01,1.5095744152152566,1.4367054091778757,1.404554045757112,1.8447758298429318,1.3883043420532681,2.073612991121252,1.3686157465055935,1.791935673095004,1.396435082934,1.2811353710247353,1.1147041915481517,1.1424936897704001,1.202951949633655,1.5056866964047173,1.100249939036991
2017-05-01,1.517665880407256,1.4352353038033394,1.4028127673840314,1.840272282722513,1.3970096261756106,2.0882213302001436,1.3662350981883176,1.7989798553624037,1.4015992730976685,1.2877290371024737,1.1144218859645942,1.1415252366066617,1.211691638604493,1.5102702244189152,1.0916138320589652
2017-06-01,1.5106696030802627,1.4317485022901204,1.407873037382854,1.8375933115183247,1.4012113949261045,2.0981254455908003,1.3636533449094943,1.7995010153360778,1.4032133716461788,1.2954077385159013,1.115827721685148,1.1373833178829362,1.210434127808239,1.5172762999503835,1.086253922642419
2017-07-01,1.511777475321722,1.4354577901785714,1.4111834134971706,1.8451136335078535,1.409452129929661,2.10875569992477,1.3625398013499423,1.8041727484799739,1.4131525823552562,1.3021982332155477,1.1246782765597918,1.1384137307319178,1.2105294075403947,1.5224167763634975,1.0931036825790452
2017-08-01,1.5282807168329113,1.4444048724489795,1.413607053217059,1.854438327225131,1.425031388603493,2.120676847093739,1.3558741391177553,1.8058421415139674,1.421683715535801,1.31062074204947,1.128924769775251,1.1317078931766735,1.2152658916007568,1.5319144641425897,1.0931429823655026
2017-09-01,1.5325114533050805,1.4468462340561223,1.4213481807288169,1.853443997382199,1.443034776732791,2.1270621111000882,1.3598937332727088,1.8021970077411673,1.4274867499479131,1.3167575618374558,1.134679444037509,1.1297517414034712,1.2260419831141731,1.5425821312163654,1.0841001691120753
2017-10-01,1.5328359946250447,1.4548472438833486,1.4210115557833638,1.8487435706806283,1.4419767478068444,2.139163003273728,1.3567315089251415,1.799856512296024,1.4319231889367317,1.3177439310954067,1.1364080018420881,1.1328111744098308,1.2341465694599445,1.5517819211098813,1.0750978859268443
2017-11-01,1.540542337588506,1.464159292816558,1.418633251068428,1.8443257565445026,1.4657390682051687,2.142083426130304,1.3487942997467877,1.7915529674473998,1.4365957696136307,1.3203423233215548,1.1306022448091553,1.1335514525169776,1.2434177902857972,1.5624505780313727,1.0664114607012467
2017-12-01,1.5288589865109308,1.4656348956400742,1.4216551623248437,1.836775617801047,1.470684285149767,2.1442096093020178,1.345350959305744,1.7863687934853019,1.4400686398360998,1.3250074116607775,1.1326933508597619,1.1368956472997738,1.2503704459216847,1.5739662513835349,1.069130238341255
2018-01-01,1.530127819525557,1.4731679228026437,1.4268571564233814,1.8271305157068063,1.488578330830633,2.1503364654481123,1.3483228884220098,1.786084132017718,1.4458853582424704,1.3395415989399293,1.1352827033005286,1.139395996011642,1.275011165024989,1.5828776409297354,1.0644525525246262
2018-02-01,1.554114158354437,1.4717570355983303,1.4305204252931685,1.8268130523560209,1.5120257867699358,2.1541894471863294,1.3462680522259938,1.7867846836150523,1.4516074123781741,1.345499054770318,1.1374674692320523,1.1452540708203083,1.289617997962055,1.5948490363917407,1.0628213191430735
2018-03-01,1.5700317706341411,1.4706134599663727,1.434116928053418,1.8271452513089002,1.525275640559551,2.156649097451287,1.3452382471915398,1.7840087418775203,1.4528514591291062,1.351464858657244,1.142823225249661,1.1439491915489923,1.3028102052501334,1.605447571562154,1.0584146369773368
2018-04-01,1.5654956225127914,1.4716395577748145,1.4338194463569556,1.8294180392670158,1.5429152714771202,2.155386156469333,1.341480368059203,1.775835041892146,1.4559505353959765,1.3598603975265018,1.1446514994887118,1.145811559771478,1.303599534184094,1.6113796404717375,1.049294666253358
2018-05-01,1.573830245490723,1.474341464082792,1.4284318352716268,1.81386277486911,1.5500425827866908,2.152052334763522,1.343258931021237,1.7701840723135747,1.4591358372109173,1.354735167844523,1.1431009046538108,1.1548383448313033,1.307442226211849,1.6184465794244491,1.0495606392505339
2018-06-01,1.556323343842059,1.4723955993448516,1.4283169020094064,1.7948039607329844,1.5476111412313283,2.1456933453618046,1.3493800383346006,1.7644917965566955,1.457803335069565,1.3495218286219082,1.1434929282673494,1.149011598038159,1.3123228094521808,1.6228213367810387,1.0535195467383067
2018-07-01,1.5481856008062431,1.4781562694225416,1.4338728263293876,1.7855165968586388,1.5504192144155537,2.1407040255284673,1.347602268953677,1.758902287196256,1.4562738476630321,1.3448195759717316,1.1464075891128245,1.1565225989005068,1.3046350400310542,1.629878405595206,1.064277233588207
2018-08-01,1.5540708439712647,1.482399215851113,1.437441205089665,1.7891599554973823,1.5621282344108116,2.1314043981217394,1.3525485443042935,1.7499213406531418,1.4580572648563557,1.3408558922261484,1.1558074201338777,1.1545382467392478,1.305805500994711,1.6316078232701041,1.068799303230695
2018-09-01,1.5721307664478785,1.4827054804904916,1.4365903362171073,1.7862846675392672,1.560821722121236,2.1222955503749077,1.3453555703545756,1.738137601021709,1.457038583987314,1.3403625176678446,1.1555227048960381,1.1547425821925192,1.3256186384589255,1.6346089490859124,1.068648985327547
2018-10-01,1.5648634999224766,1.4844725630507885,1.4364685994417163,1.7864964869109947,1.5629605951157828,2.1094067373494374,1.3389054494712334,1.719443056820794,1.4551756195453387,1.3446800441696114,1.15385584529361,1.153598148647192,1.3423584433985152,1.6371130620014505,1.0686201036715575
2018-11-01,1.5508623722156183,1.4799181635551948,1.4279838053348666,1.7818851282722514,1.5667861139650676,2.095822996205451,1.3287465133543952,1.7070452548003598,1.4549701593860684,1.3398611395759716,1.150789062058062,1.1553790821386225,1.3462167703430536,1.6378912191328574,1.0741919494385892
2018-12-01,1.5386391322548971,1.4823714356737012,1.4190878956300088,1.7670410994764398,1.5548740480518455,2.0791599425030793,1.3227635191790594,1.6951183894507011,1.4527586164548465,1.3353102473498235,1.1499900206690987,1.154137711005713,1.3522597695181715,1.6339777063852523,1.076867432665151
2019-01-01,1.5447076670628972,1.4864576161004175,1.4176559637323285,1.758034544502618,1.5677325567059197,2.0741066834899926,1.3223120908428123,1.6927865145421115,1.458353690418316,1.3291722084805655,1.1483808003655167,1.144327653336208,1.3533405856664562,1.6357836941338115,1.0802373903010265
2019-02-01,1.5641738053646184,1.4849063624768088,1.4212212848148176,1.7655097722513091,1.5565583727179324,2.070514876904508,1.3151433769725855,1.6874327709930845,1.4617833506377758,1.3228800530035336,1.1512550180220036,1.1457932833890268,1.358828842738609,1.6381881434868895,1.077052894193015
2019-03-01,1.5584331061036747,1.4806417216488867,1.419009662743903,1.7736657120418848,1.5655086374772782,2.0676475855013514,1.3108606275429011,1.684060551127223,1.460787144940621,1.3175876590106008,1.1469449141688486,1.1441142125687183,1.3691349099907806,1.6401772636540588,1.0739182324171659
2019-04-01,1.5576424559408752,1.4758725053629407,1.4154539654085658,1.7734815157068062,1.5699478945704577,2.0689365088498137,1.3001424621945579,1.6873347848979336,1.4571530200013891,1.310767871024735,1.1483168503194645,1.144797073946319,1.3666067553010819,1.6405153247967634,1.0671319139629398
