major_city,mode,loading_value,checksum_weight,dataset_weight
AUSTRALIAN CAPITAL TERRITORY,0,0.9942888495962645,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,1,-0.029901685961669425,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,2,0.017172021111003015,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,3,-0.023115227162175307,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,4,-0.04611235334176475,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,5,-0.006278707559101077,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,6,0.01121032201576029,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,7,-0.001740025294289327,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,8,0.010368918669131241,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,9,0.006569453254207608,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,10,-0.0020031423290203325,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,11,-0.014782277458896778,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,12,-0.0004654480007782858,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,13,-0.00045220692674384646,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,14,-0.013517716703959525,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,15,-0.0014262185037455012,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,16,0.006550495670785095,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,17,0.0007942873820410547,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,18,0.008405459188637027,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,19,-0.0021613532444790364,0.9999999999999998,0.014690245756849922
AUSTRALIAN CAPITAL TERRITORY,20,-0.002732207413172487,0.9999999999999998,0.014690245756849922
GREATER ADELAIDE,0,0.9941446554465214,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,1,0.05363486226084098,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,2,0.01589376212926923,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,3,-0.005706118770900718,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,4,-0.011997607176141655,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,5,0.0005942516857628413,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,6,0.029285292198892598,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,7,-0.03702027218902473,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,8,-0.023618400307000725,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,9,-0.014801696041883666,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,10,-0.0010533663176360945,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,11,0.003439356531988377,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,12,0.0016322483690587133,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,13,0.003159194534290882,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,14,0.001445659914478373,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,15,-0.004131195795186666,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,16,0.0026118759936407,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,17,0.0012324660106353819,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,18,-0.004675928128940299,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,19,0.004910042897867442,1.0000000000000002,0.05213829610870696
GREATER ADELAIDE,20,-0.0012130759004440545,1.0000000000000002,0.05213829610870696
GREATER BRISBANE,0,0.9893342828884173,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,1,0.061641050103645276,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,2,0.059959227463471404,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,3,-0.009933949517164671,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,4,0.020643555665099345,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,5,-0.012036199441326653,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,6,-0.005649371618888722,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,7,-0.0423440660549067,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,8,0.014128365943677628,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,9,-0.006520675590272512,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,10,0.0005124325673694322,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,11,-0.004326189835178726,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,12,0.00028698366954851124,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,13,0.0006555329516153492,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,14,-0.0010961817457909905,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,15,0.000848799294706507,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,16,-0.0009062018428636433,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,17,-0.0021009555589261344,0.9999873603316645,0.11306873074218683
GREATER BRISBANE,18,0.003651387014004755,0.9999873603316645,0.11306873074218683
