month_date,market,mining,lifestyle
1998-06-01,-0.0009539411440582235,0.0014985454857924642,-0.00790558512100472
1998-07-01,0.0,0.0,0.0
1998-08-01,0.0035085163246980633,-0.011906365627399003,-0.0027305059533266887
1998-09-01,0.010518631854183558,-0.017292329576841403,-0.009668721379043777
1998-10-01,0.017815221122454705,-0.03289425449259743,-0.009896746389346789
1998-11-01,0.02632101060253378,-0.039443493841815495,-0.010007315576268772
1998-12-01,0.03153034117178999,-0.04009496155456752,-0.01250720341538486
1999-01-01,0.03728154862536215,-0.04814905220213245,-0.01293243333661144
1999-02-01,0.042922042357240064,-0.062337206883023286,-0.019598319245988406
1999-03-01,0.04877461249708048,-0.07597206978879281,-0.026094439603575617
1999-04-01,0.05319529228953268,-0.08286811069501643,-0.03116922542950419
1999-05-01,0.062182350564501276,-0.09150804095969452,-0.04281526956585506
1999-06-01,0.06859070115901289,-0.11122990168506086,-0.047652012854095815
1999-07-01,0.07740453615629372,-0.12073612513750151,-0.05585135317322626
1999-08-01,0.08805275411377955,-0.12581039214163298,-0.0603522144364691
1999-09-01,0.09809464571886761,-0.13562115567382785,-0.06989690609553284
1999-10-01,0.11042554362887358,-0.1544129016692058,-0.07426995784458598
1999-11-01,0.1192990259921729,-0.16161367735735663,-0.07430178518853212
1999-12-01,0.12368515717998951,-0.16694608797917593,-0.0694602305425138
2000-01-01,0.13308971110839796,-0.17835862620990448,-0.07770052522349985
2000-02-01,0.14268526732138542,-0.19445033312343019,-0.08034942095065703
2000-03-01,0.15171468011974298,-0.19749086084613332,-0.07973860550168482
2000-04-01,0.15619727369133607,-0.20623150816441516,-0.08323581229619975
2000-05-01,0.15464464177426962,-0.20689389541909797,-0.07731400399108826
2000-06-01,0.15635172816877208,-0.2010255757348111,-0.08241710025629387
2000-07-01,0.16187003805963307,-0.19616864614946217,-0.08303832277774631
2000-08-01,0.16688021981116152,-0.20534999493200262,-0.08502596604687979
2000-09-01,0.17152999818491632,-0.2061957252465741,-0.08437673063148168
2000-10-01,0.18047504795327884,-0.21308482682109914,-0.08559355920372338
2000-11-01,0.18959668085149206,-0.20770124028594,-0.08887298429115867
2000-12-01,0.1976192767455407,-0.21115208158988824,-0.07561997907246032
2001-01-01,0.20840682259967758,-0.21087649335494452,-0.06050471033672067
2001-02-01,0.21775098019627515,-0.2253836130085639,-0.05073065674713245
2001-03-01,0.22601430045956306,-0.22961601247534774,-0.042202898565459834
2001-04-01,0.23707350111442216,-0.2366526621613816,-0.05116927235446228
2001-05-01,0.2493490683608458,-0.24364534953758976,-0.05605922282332204
2001-06-01,0.261719290744567,-0.24253528415694064,-0.07337124896682157
2001-07-01,0.2795979549915957,-0.2429597192051282,-0.08813461605637452
2001-08-01,0.29411986845631555,-0.24456407294924837,-0.0907312491864607
2001-09-01,0.30993169022347977,-0.24259873888870737,-0.0804380957363317
2001-10-01,0.32309777734187434,-0.23931939727531798,-0.07265896828056895
2001-11-01,0.33539550791313305,-0.23611170682329063,-0.061214154568573154
2001-12-01,0.34795726222914286,-0.23477032434688044,-0.053249691466310756
2002-01-01,0.36399446095886817,-0.24085535040815953,-0.04637859490020657
2002-02-01,0.38158889002510715,-0.256082282255094,-0.04629123927780904
2002-03-01,0.3992695827732686,-0.26036458743012814,-0.052647331388259
2002-04-01,0.4153385005463148,-0.27306744088381707,-0.04915009921044444
2002-05-01,0.42848833297246336,-0.27422554109629904,-0.033203826887372945
2002-06-01,0.4408554652514737,-0.2658696423435946,-0.021770042615957774
2002-07-01,0.46022653760264665,-0.25492858075131675,-0.007810749304815512
2002-08-01,0.4778783170154299,-0.2536651500287124,-0.0018216356550438961
2002-09-01,0.49553680514912923,-0.2551354416479079,0.0019728917766518306
2002-10-01,0.5122338016397252,-0.25471594483887233,0.012739126728707695
2002-11-01,0.5253480143820551,-0.24084920322773795,0.0318234819978791
2002-12-01,0.5401562959675829,-0.23104187173238722,0.049008723335432824
2003-01-01,0.5601903067423312,-0.21417253752233667,0.05984175132115699
2003-02-01,0.5762143852755133,-0.20507628025877633,0.07036579664064302
2003-03-01,0.5959561040472865,-0.19920481483023234,0.08727184189595738
2003-04-01,0.6184707153438367,-0.17840880887801436,0.10031248069833165
2003-05-01,0.6377178144225024,-0.1667172567866364,0.10829332194575836
2003-06-01,0.658694419519177,-0.13865314607409251,0.11882150892164856
2003-07-01,0.6899385361477195,-0.11249203767158689,0.12874181182306066
2003-08-01,0.7155105804343802,-0.08342486838832086,0.14251370693661292
2003-09-01,0.7381347853089568,-0.06270227417776397,0.1549151777033353
2003-10-01,0.7545400036301741,-0.05236977920436525,0.17272588653888854
2003-11-01,0.7606935664789438,-0.05409771032016342,0.18522176438339533
2003-12-01,0.7620826768440119,-0.04473514122169475,0.20353367870453687
2004-01-01,0.7728984647162384,-0.036961313005508645,0.20500173209367323
2004-02-01,0.7789350998475785,-0.03783175208578471,0.21200517494161197
2004-03-01,0.7875882543735374,-0.03595674443389074,0.21223868244641753
2004-04-01,0.7903888041944227,-0.017274753167487167,0.21038314312345252
2004-05-01,0.7904317295408075,0.0027800130891741937,0.1989375863560119
2004-06-01,0.7930185826467836,-0.0015044600439059197,0.20863393172630573
2004-07-01,0.8016924595625385,-0.0003515458754673739,0.20645470376583608
2004-08-01,0.8087034291827212,-0.003676006823773448,0.21208381330592418
2004-09-01,0.8139848791145841,0.001523432679019887,0.21045674860754982
2004-10-01,0.8190971620135473,0.011242380164618648,0.20898310633043604
2004-11-01,0.8258723855727874,0.013931419374492826,0.20877969281910413
