sa2_name,mode,loading_value,start_date,end_date
ACTON - UPPER BURNIE,0,0.97239,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,1,0.16069,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,2,0.12123,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,3,0.09754,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,4,-0.01296,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,5,0.00661,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,6,-0.04347,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,7,-0.01179,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,8,0.01008,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,9,0.01831,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,10,0.0257,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,11,-0.00721,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,12,0.00048,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,13,0.01483,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,14,-0.0042,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,15,-0.01034,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,16,0.00842,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,17,-0.00186,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,18,-0.00477,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,19,0.00223,1998-04-01,2024-01-01
ACTON - UPPER BURNIE,20,-0.00475,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,0,0.98677,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,1,-0.15436,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,2,0.02295,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,3,-0.00555,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,4,-0.01077,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,5,0.02309,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,6,-0.00857,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,7,0.01267,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,8,0.00543,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,9,-0.00181,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,10,-0.0217,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,11,0.00385,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,12,-0.00166,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,13,-0.00555,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,14,0.00228,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,15,0.0054,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,16,-0.00139,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,17,-0.00871,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,18,-0.00352,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,19,-0.00162,1998-04-01,2024-01-01
ADAMSTOWN - KOTARA,20,0.002,1998-04-01,2024-01-01
ADELAIDE,0,0.99738,1998-04-01,2024-01-01
ADELAIDE,1,-0.02072,1998-04-01,2024-01-01
ADELAIDE,2,-0.01058,1998-04-01,2024-01-01
ADELAIDE,3,0.03743,1998-04-01,2024-01-01
ADELAIDE,4,-0.00785,1998-04-01,2024-01-01
ADELAIDE,5,-0.01693,1998-04-01,2024-01-01
ADELAIDE,6,0.03889,1998-04-01,2024-01-01
ADELAIDE,7,-0.01771,1998-04-01,2024-01-01
ADELAIDE,8,-0.01545,1998-04-01,2024-01-01
ADELAIDE,9,-0.01348,1998-04-01,2024-01-01
ADELAIDE,10,-0.00331,1998-04-01,2024-01-01
ADELAIDE,11,-0.00538,1998-04-01,2024-01-01
ADELAIDE,12,0.00572,1998-04-01,2024-01-01
ADELAIDE,13,-0.00329,1998-04-01,2024-01-01
ADELAIDE,14,0.00389,1998-04-01,2024-01-01
ADELAIDE,15,-0.00664,1998-04-01,2024-01-01
ADELAIDE,16,-0.00084,1998-04-01,2024-01-01
ADELAIDE,17,0.00337,1998-04-01,2024-01-01
ADELAIDE,18,-0.00531,1998-04-01,2024-01-01
ADELAIDE,19,0.00564,1998-04-01,2024-01-01
ADELAIDE,20,-0.00086,1998-04-01,2024-01-01
ADELAIDE HILLS,0,0.99285,1998-04-01,2024-01-01
ADELAIDE HILLS,1,0.09946,1998-04-01,2024-01-01
ADELAIDE HILLS,2,0.01243,1998-04-01,2024-01-01
ADELAIDE HILLS,3,-0.00633,1998-04-01,2024-01-01
ADELAIDE HILLS,4,-0.02141,1998-04-01,2024-01-01
ADELAIDE HILLS,5,0.00856,1998-04-01,2024-01-01
ADELAIDE HILLS,6,0.02701,1998-04-01,2024-01-01
ADELAIDE HILLS,7,-0.03631,1998-04-01,2024-01-01
ADELAIDE HILLS,8,-0.02529,1998-04-01,2024-01-01
ADELAIDE HILLS,9,-0.00664,1998-04-01,2024-01-01
ADELAIDE HILLS,10,-0.00131,1998-04-01,2024-01-01
ADELAIDE HILLS,11,0.00622,1998-04-01,2024-01-01
ADELAIDE HILLS,12,0.01194,1998-04-01,2024-01-01
ADELAIDE HILLS,13,-4e-05,1998-04-01,2024-01-01
ADELAIDE HILLS,14,-0.00419,1998-04-01,2024-01-01
ADELAIDE HILLS,15,-0.00252,1998-04-01,2024-01-01
ADELAIDE HILLS,16,-0.00106,1998-04-01,2024-01-01
ADELAIDE HILLS,17,0.00188,1998-04-01,2024-01-01
ADELAIDE HILLS,18,-0.00247,1998-04-01,2024-01-01
ADELAIDE HILLS,19,0.00682,1998-04-01,2024-01-01
ADELAIDE HILLS,20,-0.00155,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,0,0.89634,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,1,0.39755,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,2,0.13296,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,3,0.00248,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,4,-0.10799,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,5,0.00636,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,6,0.04011,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,7,0.03342,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,8,0.01388,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,9,0.02458,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,10,-0.01993,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,11,0.02823,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,12,-0.02696,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,13,-0.00884,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,14,0.02332,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,15,0.00244,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,16,0.008,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,17,0.01738,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,18,0.01523,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,19,-0.01105,1998-04-01,2024-01-01
AGNES WATER - MIRIAM VALE,20,-0.001,1998-04-01,2024-01-01
AINSLIE,0,0.99235,1998-04-01,2024-01-01
AINSLIE,1,-0.10719,1998-04-01,2024-01-01
AINSLIE,2,-0.00614,1998-04-01,2024-01-01
AINSLIE,3,0.0022,1998-04-01,2024-01-01
AINSLIE,4,-0.02881,1998-04-01,2024-01-01
AINSLIE,5,-0.02455,1998-04-01,2024-01-01
AINSLIE,6,0.02757,1998-04-01,2024-01-01
AINSLIE,7,0.01561,1998-04-01,2024-01-01
AINSLIE,8,-0.01063,1998-04-01,2024-01-01
AINSLIE,9,0.00184,1998-04-01,2024-01-01
AINSLIE,10,-0.00362,1998-04-01,2024-01-01
AINSLIE,11,-0.01927,1998-04-01,2024-01-01
AINSLIE,12,0.00669,1998-04-01,2024-01-01
AINSLIE,13,0.00372,1998-04-01,2024-01-01
AINSLIE,14,-0.01562,1998-04-01,2024-01-01
AINSLIE,15,-0.00118,1998-04-01,2024-01-01
AINSLIE,16,0.01058,1998-04-01,2024-01-01
AINSLIE,17,0.00564,1998-04-01,2024-01-01
AINSLIE,18,0.00798,1998-04-01,2024-01-01
AINSLIE,19,0.00566,1998-04-01,2024-01-01
AINSLIE,20,-0.00111,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,0,0.85522,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,1,0.35369,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,2,0.33522,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,3,-0.01138,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,4,-0.09442,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,5,-0.01241,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,6,0.0147,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,7,0.07878,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,8,-0.04715,1998-04-01,2024-01-01
