month_date,AUSTRALIAN CAPITAL TERRITORY,GREATER ADELAIDE,GREATER BRISBANE,GREATER DARWIN,GREATER HOBART,GREATER MELBOURNE,GREATER PERTH,GREATER SYDNEY,REST OF NSW,REST OF NT,REST OF QLD,REST OF SA,REST OF TAS.,REST OF VIC.,REST OF WA
2007-05-01,1.064488850294734,1.0211441281850953,1.0932380299812936,1.0196559076923075,1.1039240648758235,1.088348944748555,1.253007731150105,0.7878952273574444,0.9714276926262148,0.6904469045571797,1.045776347775075,0.987622596702111,1.0978647987643426,1.0372408086059275,1.1253580045003913
2007-06-01,1.0681075198519028,1.0366895124525404,1.1092831322362102,1.0159644487179489,1.101122812251104,1.1019923825094151,1.2530475967768115,0.7925245824397656,0.9727263959760052,0.6806826913155632,1.0510348172536297,0.9932010366260848,1.1081882965578114,1.0467663705817782,1.1396863729454738
2007-07-01,1.0803337784381548,1.0584603680250009,1.132993274622074,1.0353144538461538,1.1025573513865758,1.1231747090095672,1.2566170692454133,0.7951478569872534,0.9821756933163458,0.6818740068787619,1.0674071384126609,1.0045655514460363,1.1258228022947927,1.0530691027003294,1.1479675776154448
2007-08-01,1.0997137243630344,1.067743831572022,1.1529930430633502,1.0357832487179488,1.1216256491202663,1.141505030293472,1.2549407415251106,0.7991383018265081,0.9872324570791532,0.6908349269131557,1.0783674168330992,1.0068050521395178,1.130842766548985,1.0612782572996706,1.1571710028045916
2007-09-01,1.120262631655868,1.0907818667160107,1.1663576160953537,1.05091451025641,1.1446146137137063,1.1552389060883148,1.2596773110583093,0.8026994999733742,0.9914754151404156,0.6971894411006019,1.0931083466809035,1.0158664837930855,1.147850476169462,1.0667425292645445,1.1681143295069136
2007-10-01,1.1212711599356948,1.1146587107474266,1.184339428813388,1.0780691487179488,1.1515754521758017,1.1756685807652807,1.2617747308106668,0.8120952562581992,0.994307074958858,0.7102698624247636,1.1073095732073055,1.0255270411465554,1.1591009015887028,1.0772068465422613,1.1814994400600054
2007-11-01,1.1377761786914795,1.1279039066847596,1.2002500681910109,1.1021298666666666,1.1459932886829338,1.1842828864004435,1.262886152245458,0.8152638710551918,1.0016678955778524,0.7093931728288909,1.1100172658902006,1.0271649103611238,1.1715503834951455,1.086058308496158,1.1880502974171665
2007-12-01,1.132165229697472,1.1416186248063926,1.2124375390565751,1.1218106564102563,1.154067712692781,1.1971861687509862,1.2591816428813882,0.8102979878394141,1.0007669884801194,0.7031852622527945,1.1182847865377383,1.0428924862587965,1.1852276081200357,1.0875461324259057,1.1890909613879468
2008-01-01,1.1229002694012769,1.155633710953027,1.215410564108398,1.1277565717948717,1.1660848729273765,1.2022272277722856,1.2653931806844847,0.8119806394473514,1.0052791476349745,0.7139310060189167,1.1251894957584387,1.0583492161093129,1.1802526526919683,1.0906303553896817,1.1908148450952258
2008-02-01,1.136675437716179,1.162673780034815,1.2142712262374236,1.1313570743589745,1.1794278509883425,1.2068361700973629,1.2565412441151729,0.812810179165315,1.011084243881723,0.7118037059329321,1.1236451735843336,1.0679061961267784,1.177643814210062,1.0960371999121843,1.1863690356770151
2008-03-01,1.1330506903103232,1.179914956755349,1.212040123173568,1.1342390692307691,1.171981486496271,1.2023498801724906,1.253078985374636,0.8095194023788659,1.0073694857461384,0.7173868357695615,1.1187944466855182,1.0689818513381617,1.1804695066195945,1.0920318711745334,1.177523268653796
